Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CTBF128L,CENTREX,850,Upright,Refrigerator,310,0
CTBF50,CENTREX,492,Upright,Refrigerator,285,1
CTCF150,CENTREX,850,Chest,Freezer,254,0
CTCF200,CENTREX,849,Chest,Freezer,290,0
CTCF200,CENTREX,849,Chest,Freezer,290,3
CTCF300,CENTREX,720,Chest,Freezer,390,2.5
CTF200,CENTREX,1462,Upright,Refrigerator/Freezer,403,1.5
CTF360,CENTREX,1776,Upright,Refrigerator/Freezer,639,0
CTF360A,CENTREX,1776,Upright,Refrigerator/Freezer,450,2
CTF470,CENTREX,1776,Upright,Refrigerator/Freezer,895,0
CTF520,CENTREX,1701,Upright,Refrigerator/Freezer,902,0
CTFZ100,CENTREX,850,Upright,Freezer,302,0
