Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CHF208,Changhong,1430,Upright,Freezer,260,3
CHF208R,Changhong,1430,Upright,Freezer,260,3
CHR117,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR117B,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR117S,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR117W,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR118B,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR118S,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR118W,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR119B,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR119S,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR119W,CHANGHONG,837.5,Upright,Refrigerator,238,1.5
CHR268*,CHANGHONG,1430,Upright,Refrigerator,325,1
CHRF235,CHANGHONG,,Upright,Refrigerator/Freezer,375,2
CHRF235A,CHANGHONG,,Upright,Refrigerator/Freezer,375,2
CHRF235B,CHANGHONG,,Upright,Refrigerator/Freezer,375,2
CHRF235C,CHANGHONG,,Upright,Refrigerator/Freezer,375,2
CHRF235S,CHANGHONG,,Upright,Refrigerator/Freezer,375,2
CHRF280,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF280S,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF280W,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF285S,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF287,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF287A,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF287B,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF289,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF289A,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF289W,CHANGHONG,,Upright,Refrigerator/Freezer,410,2
CHRF420,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF420,Changhong,1679,Upright,Refrigerator/Freezer,505,2
CHRF420B,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF420S,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF425,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF425B,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF425S,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF428,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF428B,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
CHRF428S,CHANGHONG,1679,Upright,Refrigerator/Freezer,505,2
FBM286A01S,Changhong,1519,Upright,Refrigerator/Freezer,410,2
FBM287A01W,Changhong,1519,Upright,Refrigerator/Freezer,410,2
FCF142R02W,Changhong,825,Chest,Freezer,256,3
FCF150R02W,Changhong,845,Chest,Freezer,234,3
FCF151R02W,Changhong,845,Chest,Freezer,234,3
FCF200R02W,Changhong,845,Chest,Freezer,281,3
FCF200R02W-TEMP,Changhong,825,Chest,Freezer,292,3
FCF201R02W,Changhong,845,Chest,Freezer,281,3
FCF292R02W,Changhong,825,Chest,Freezer,361,3
FCF300R02W,Changhong,835,Chest,Freezer,339,3
FFD540R02T,Changhong,1805.6,Upright,Refrigerator/Freezer,624,2
FSF198R02W,Changhong,1420,Upright,Freezer,289,3
FSF209R02W,Changhong,1407,Upright,Freezer,274,3
FSR055R02W,Changhong,447,Upright,Refrigerator,219,1.5
FSR11*R02*,Changhong,845,Upright,Refrigerator,259,1.5
FSR120R02W,Changhong,837.5,Upright,Refrigerator,238,1.5
FSR121R02B,Changhong,837.5,Upright,Refrigerator,238,1.5
FSR122R02S,Changhong,837.5,Upright,Refrigerator,238,1.5
FSR269R02W,Changhong,1430,Upright,Refrigerator,325,1
FSR269R02W,Changhong,1430,Upright,Refrigerator,325,1
FSR272R02W,Changhong,1457,Upright,Refrigerator,194,3
FTM240A01W,Changhong,1477,Upright,Refrigerator/Freezer,375,2
FTM240A01W,Changhong,1477,Upright,Refrigerator/Freezer,375,2
FTM240A01W,Changhong,1477,Upright,Refrigerator/Freezer,390,2
FTM320A01W,Changhong,1500,Upright,Refrigerator/Freezer,435,2
FTM418A01S,Changhong,1679,Upright,Refrigerator/Freezer,464,2.5
FTM418A01S,Changhong,1679,Upright,Refrigerator/Freezer,505,2
FTM418A01S,Changhong,1679,Upright,Refrigerator/Freezer,505,2
FTM419A01W,Changhong,1679,Upright,Refrigerator/Freezer,464,2.5
FTM419A01W,Changhong,1679,Upright,Refrigerator/Freezer,505,2
FTM419A01W,Changhong,1679,Upright,Refrigerator/Freezer,505,2
FTM530R02W,Changhong,1731,Upright,Refrigerator/Freezer,565,2
FTM531R02S,Changhong,1731,Upright,Refrigerator/Freezer,565,2
