Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BD-300,Coldstream,850,Chest,Freezer,368,3
CS-180F,Coldstream,1390,Upright,Freezer,334,2.5
CS1-10.2,Coldstream,850,Upright,Freezer,300,1.5
CS1-29,Coldstream,1430,Upright,Refrigerator,351,1
CS282W,Coldstream,1500,Upright,Refrigerator/Freezer,392,2.5
CS410U,Coldstream,1712,Upright,Refrigerator/Freezer,467,2.5
CSBF116,Coldstream,840,Upright,Refrigerator,295,1
CSHO-550-*,Coldstream,1770,Side by Side,Refrigerator/Freezer,645,2
CSKE295-SS,Coldstream,1830,Upright,Refrigerator/Freezer,475,2
CSMI 388 F,Coldstream,1550,Upright,Freezer,621,1.5
CSMI 410SSS,Coldstream,1712,Upright,Refrigerator/Freezer,464,2.5
CSMI 410WH,Coldstream,1712,Upright,Refrigerator/Freezer,464,2.5
CSMI 546 SS,Coldstream,1745,Upright,Refrigerator/Freezer,496,2.5
CSVF175,Coldstream,1430,Upright,Freezer,365,2
CSWB 300,Coldstream,842,Chest,Freezer,410,2.5
