Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CCF100,CONIA,,Chest,Freezer,262,2
CCF155,CONIA,,Chest,Freezer,284,2.5
CCF200,CONIA,,Chest,Freezer,334,2.5
CF-426H,CONIA,,Upright,Refrigerator/Freezer,591,0
CF060,CONIA,450,Upright,Refrigerator,287,1
CF061,CONIA,480,Upright,Refrigerator,198,1.5
CF061,CONIA,480,Upright,Refrigerator,198,1.5
CF070,CONIA,530,Upright,Refrigerator/Freezer,286,1
CF140,CONIA,1500,Upright,Refrigerator,357,0
CF141,CONIA,850,Upright,Refrigerator,310,1
CF141,CONIA,850,Upright,Refrigerator,310,1
CF220,CONIA,1395,Upright,Refrigerator/Freezer,604,0
CF220,CONIA,1395,Upright,Refrigerator/Freezer,358,2
CF241,CONIA,1462,Upright,Refrigerator/Freezer,403,1.5
CF243,CONIA,1462,Upright,Refrigerator/Freezer,403,1.5
CF276B,CONIA,,Upright,Refrigerator/Freezer,488,1.5
CF280,CONIA,1550,Upright,Refrigerator/Freezer,624,0
CF290,CONIA,,Upright,Refrigerator/Freezer,380,2
CF290,CONIA,,Upright,Refrigerator/Freezer,380,2
CF332,CONIA,,Upright,Refrigerator/Freezer,430,2
CF360,CONIA,,Upright,Refrigerator/Freezer,656,0
CF360,CONIA,1512,Upright,Refrigerator/Freezer,421,2
CF360,CONIA,1512,Upright,Refrigerator/Freezer,421,2
CF370,CONIA,1510,Upright,Refrigerator/Freezer,440,2
CF390,CONIA,,Upright,Refrigerator/Freezer,458,2
CF4901,CONIA,1741,Upright,Refrigerator/Freezer,644,0
CF541H,CONIA,,Upright,Refrigerator/Freezer,628,0
CF694H,CONIA,,Side by Side,Refrigerator/Freezer,1231,0
CUF136,CONIA,1120,Upright,Freezer,310,2
CUF136D,CONIA,1120,Upright,Freezer,310,2
CUF183,CONIA,1430,Upright,Freezer,345,2.5
