Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DD1-10.2,Continental,,Upright,Freezer,300,1.5
DF1-08,Continental,,Upright,Refrigerator,268,1
DF1-15.2,Continental,,Upright,Refrigerator,295,1
HD-496FW,Continental,,Upright,Refrigerator/Freezer,456,2.5
HD253FW,Continental,,Upright,Refrigerator/Freezer,427,1.5
HS-195CN,Continental,,Chest,Freezer,280,2.5
HS-241FN,Continental,,Upright,Freezer,362,2
HS-260CN,Continental,,Chest,Freezer,310,2.5
HS-319LN,Continental,,Upright,Refrigerator,330,1
HS-390CN,Continental,,Chest,Freezer,400,2.5
