Model No,Brand,Control,Prog Name,Type,New CEC,New Star
D-248FR,DEC,1464,Upright,Freezer,380,0
D-259FF,DEC,1685,Upright,Refrigerator/Freezer,535,0
D-350FF,DEC,1625,Upright,Refrigerator/Freezer,830,0
D-350FF,DEC,1652,Upright,Refrigerator/Freezer,855,0
D-350SS,DEC,1625,Upright,Refrigerator/Freezer,830,0
D-426FF,DEC,1584,Upright,Refrigerator/Freezer,1018,0
D-426FF,DEC,1576,Upright,Refrigerator/Freezer,600,0
D-426SS,DEC,1576,Upright,Refrigerator/Freezer,600,0
D-521FF,DEC,1684,Upright,Refrigerator/Freezer,690,0
D-521FF,DEC,1684,Upright,Refrigerator/Freezer,1010,0
D-521SS,DEC,1684,Upright,Refrigerator/Freezer,690,0
D-60FR,DEC,550,Upright,Refrigerator,330,0
D-688FF,DEC,1675,Side by Side,Refrigerator/Freezer,1240,0
D220FF,DEC,1462,Upright,Refrigerator/Freezer,350,2.5
D270FF,DEC,1685,Upright,Refrigerator/Freezer,380,2
D270FFSS,DEC,1685,Upright,Refrigerator/Freezer,380,2
D300FF,DEC,1685,Upright,Refrigerator/Freezer,430,2
D300FFSS,DEC,1685,Upright,Refrigerator/Freezer,430,2
HR-170T,DEC,1120,Upright,Refrigerator,367,0
