Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DFB-130/DFB-130S,DAEWOO,858,Upright,Refrigerator,311,1
DFS-616DS,DAEWOO,1808,Side by Side,Refrigerator/Freezer,740,1.5
DFS-645E/DFS-645S,DAEWOO,1808,Side by Side,Refrigerator/Freezer,710,2
DFT-246/DFT-246S,DAEWOO,1620,Upright,Refrigerator/Freezer,390,2
DFT-405K*,DAEWOO,1759,Upright,Refrigerator/Freezer,495,2
FDF-236,DAEWOO,1600,Upright,Refrigerator/Freezer,580,0
FDF-345,DAEWOO,1677,Upright,Refrigerator/Freezer,560,0
FDF-358,DAEWOO,1727,Upright,Refrigerator/Freezer,628,0
FDF-358,DAEWOO,1727,Upright,Refrigerator/Freezer,680,0
FDF-405K1,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405K2,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405K4,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405K5,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405N1,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405N2,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-405N3,DAEWOO,,Upright,Refrigerator/Freezer,660,0
FDF-454,DAEWOO,,Upright,Refrigerator/Freezer,750,0
FDF-480,DAEWOO,1809,Upright,Refrigerator/Freezer,675,0
FDF-516W,DAEWOO,1810,Upright,Refrigerator/Freezer,870,0
FDF-541,DAEWOO,1819,Upright,Refrigerator/Freezer,675,0
FF-13**,DAEWOO,1155,Upright,Freezer,460,1
FGK-48***,DAEWOO,1764,Upright,Refrigerator/Freezer,451,3
FGK-51***,DAEWOO,1834,Upright,Refrigerator/Freezer,473,3
FGK-56***,DAEWOO,1773,Upright,Refrigerator/Freezer,446,3.5
FGT-24***,DAEWOO,1554,Upright,Refrigerator/Freezer,332,3
FGT-34***,DAEWOO,1645,Upright,Refrigerator/Freezer,393,3
FGT-34****,DAEWOO,1645,Upright,Refrigerator/Freezer,393,3
FGT-36***,DAEWOO,1705,Upright,Refrigerator/Freezer,404,3
FGT-36****,DAEWOO,1705,Upright,Refrigerator/Freezer,404,3
FGT-40***,DAEWOO,1705,Upright,Refrigerator/Freezer,417,3
FGT-40****,DAEWOO,1705,Upright,Refrigerator/Freezer,417,3
FN-15**,DAEWOO,880,Upright,Refrigerator,170,3
FN-510**,DAEWOO,1770,Upright,Refrigerator/Freezer,520,2.5
FR-09**,DAEWOO,726,Upright,Refrigerator,310,1
FR-142 (Daewoo),DAEWOO,858,Upright,Refrigerator,380,0
FR-147,DAEWOO,858,Upright,Refrigerator,311,1
FR-171 (Daewoo),DAEWOO,1211,Upright,Refrigerator/Freezer,460,0
FR-2***,DAEWOO,545,Upright,Refrigerator/Freezer,398,2
FR-251 (Daewoo),DAEWOO,1536,Upright,Refrigerator/Freezer,690,0
FR-29***,DAEWOO,1620,Upright,Refrigerator/Freezer,430,1.5
FR-291I,DAEWOO,,Upright,Refrigerator/Freezer,376,2
FR-291W,DAEWOO,,Upright,Refrigerator/Freezer,376,2
FR-360,DAEWOO,1677,Upright,Refrigerator/Freezer,450,2
FR-360*,DAEWOO,1677,Upright,Refrigerator/Freezer,450,2
FR-64*K*,DAEWOO,1772,Upright,Refrigerator/Freezer,520,2.5
FR454,DAEWOO,,Upright,Refrigerator/Freezer,750,0
FRM-405*,DAEWOO,1759,Upright,Refrigerator/Freezer,495,2
FRN-Y22***,DAEWOO,1770,Side by Side,Refrigerator/Freezer,760,1.5
FRS-2021IAL,DAEWOO,1808,Side by Side,Refrigerator/Freezer,910,0
FRS-2411*,DAEWOO,1808,Chest,Refrigerator/Freezer,840,1.5
FRS-U20D**,DAEWOO,1790,Side by Side,Refrigerator/Freezer,760,1.5
FRS-U20D**,DAEWOO,1790,Side by Side,Refrigerator/Freezer,760,1.5
FRS-U20I**,DAEWOO,1790,Side by Side,Refrigerator/Freezer,650,2
FRS-X22*****,DAEWOO,1770,Side by Side,Refrigerator/Freezer,760,1.5
FSC-053,DAEWOO,511,Upright,Refrigerator,320,0
FSC-083,DAEWOO,726,Upright,Refrigerator,340,0
FSC-135R,DAEWOO,858,Upright,Refrigerator,380,0
RFS-26D1*,DAEWOO,1773,Upright,Refrigerator/Freezer,670,2.5
RN-17*,DAEWOO,1620,Upright,Refrigerator/Freezer,293,2.5
SR-405B50A,DAEWOO,,Upright,Refrigerator/Freezer,645,0
