Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ER169T,ELBA,1197,Upright,Refrigerator/Freezer,338,2
RC160,ELBA,903,Chest,Freezer,303,2.5
RC160CW,ELBA,903,Chest,Freezer,304,2.5
RC215,ELBA,898,Chest,Freezer,341,2.5
RC215SXW,ELBA,898,Chest,Freezer,345,2.5
RC220,ELBA,903,Chest,Freezer,342,2.5
RC220XW,ELBA,903,Chest,Freezer,348,2.5
RC275,ELBA,898,Chest,Freezer,389,2.5
RC275SXW,ELBA,898,Chest,Freezer,393,2.5
RC280,ELBA,903,Chest,Freezer,378,2.5
RC280XW,ELBA,903,Chest,Freezer,392,2.5
RC320,ELBA,898,Chest,Freezer,407,2.5
RC320SXW,ELBA,898,Chest,Freezer,424,2.5
RC360,ELBA,903,Chest,Freezer,433,2.5
RC360XW,ELBA,903,Chest,Freezer,438,2.5
RC510,ELBA,903,Chest,Freezer,542,2.5
RC510XW,ELBA,903,Chest,Freezer,586,2
RC701,ELBA,903,Chest,Freezer,696,2
RC701XW,ELBA,903,Chest,Freezer,703,2
RF120,ELBA,809,Upright,Refrigerator,291,1
RF120RCLW,ELBA,819,Upright,Refrigerator,296,1
RF120RCRW,ELBA,819,Upright,Refrigerator,296,1
RF150,ELBA,1197,Upright,Freezer,395,1
RF150FCLW,ELBA,1207,Upright,Freezer,386,1.5
RF150FCRW,ELBA,1207,Upright,Freezer,386,1.5
RF169T,ELBA,1197,Upright,Refrigerator/Freezer,338,2
RF169TL,ELBA,1197,Upright,Refrigerator/Freezer,347,2
RF169TR,ELBA,1197,Upright,Refrigerator/Freezer,347,2
RF190,ELBA,1197,Upright,Refrigerator,309,1
RF190RCLW,ELBA,1207,Upright,Refrigerator,290,1.5
RF190RCRW,ELBA,1207,Upright,Refrigerator,290,1.5
RF210,ELBA,1585,Upright,Freezer,473,1
RF210FCLW,ELBA,1595,Upright,Freezer,481,1
RF210FCRW,ELBA,1595,Upright,Freezer,481,1
RF240B,ELBA,1585,Upright,Refrigerator/Freezer,460,1.5
RF240BCLW,ELBA,1595,Upright,Refrigerator/Freezer,427,2
RF240BCRW,ELBA,1595,Upright,Refrigerator/Freezer,427,2
RF249T,ELBA,1585,Upright,Refrigerator/Freezer,387,2
RF249TCLW,ELBA,1595,Upright,Refrigerator/Freezer,394,2
RF249TCRW,ELBA,1595,Upright,Refrigerator/Freezer,394,2
RF270,ELBA,1585,Upright,Refrigerator,340,1
RF270RCLW,ELBA,1595,Upright,Refrigerator,362,1
RF270RCRW,ELBA,1595,Upright,Refrigerator,362,1
RF331T,ELBA,1415,Upright,Refrigerator/Freezer,407,2.5
RF331TCLW,ELBA,1425,Upright,Refrigerator/Freezer,405,2.5
RF331TCRW,ELBA,1425,Upright,Refrigerator/Freezer,405,2.5
RF372B,ELBA,1585,Upright,Refrigerator/Freezer,498,2
RF372B,ELBA,1585,Upright,Refrigerator/Freezer,489,2
RF372BCLW,ELBA,1595,Upright,Refrigerator/Freezer,498,2
RF372BCRW,ELBA,1595,Upright,Refrigerator/Freezer,498,2
RF381T,ELBA,1585,Upright,Refrigerator/Freezer,433,2.5
RF381TCLW,ELBA,1595,Upright,Refrigerator/Freezer,417,2.5
RF381TCRW,ELBA,1595,Upright,Refrigerator/Freezer,417,2.5
RF402B,ELBA,1685,Upright,Refrigerator/Freezer,528,2
RF402BCLW,ELBA,1695,Upright,Refrigerator/Freezer,515,2
RF402BCRW,ELBA,1695,Upright,Refrigerator/Freezer,515,2
RF411RCLW,ELBA,1695,Upright,Refrigerator/Freezer,443,2.5
RF411RCRW,ELBA,1695,Upright,Refrigerator/Freezer,443,2.5
RF411T,ELBA,1685,Upright,Refrigerator/Freezer,454,2.5
