Model No,Brand,Control,Prog Name,Type,New CEC,New Star
E115FW,EURO,850,Upright,Refrigerator,295,1
E115SX,EURO,850,Upright,Refrigerator,295,1
E195FW,EURO,1390,Upright,Refrigerator/Freezer,427,1.5
E195FW,EURO,1390,Upright,Refrigerator/Freezer,427,1.5
E280FW,EURO,1520,Upright,Refrigerator/Freezer,464,1.5
E280FW,EURO,1520,Upright,Refrigerator/Freezer,464,1.5
E292FW,EURO,1519,Upright,Refrigerator/Freezer,394,2.5
E380FW,EURO,1712,Upright,Refrigerator/Freezer,456,2.5
E380SX,EURO,1712,Upright,Refrigerator/Freezer,456,2.5
E410FW,EURO,1712,Upright,Refrigerator/Freezer,467,2.5
E410SX,EURO,1712,Upright,Refrigerator/Freezer,467,2.5
EFD635SX,EURO,1775,Upright,Refrigerator/Freezer,683,2
ER400FW,EURO,1712,Upright,Refrigerator/Freezer,464,2.5
ER400SX,EURO,1712,Upright,Refrigerator/Freezer,464,2.5
ER420SS,EURO,1756,Upright,Refrigerator/Freezer,409,3
ER420WH,EURO,1756,Upright,Refrigerator/Freezer,409,3
ESBS580SX,EURO,1760,Side by Side,Refrigerator/Freezer,723,1.5
