Model No,Brand,Control,Prog Name,Type,New CEC,New Star
*522B*,FISHER & PAYKEL,1695,Upright,Refrigerator/Freezer,467,3
C170T,FISHER & PAYKEL,1197,Upright,Refrigerator/Freezer,515,0
C190,FISHER & PAYKEL,1197,Upright,Refrigerator,420,0
C190,FISHER & PAYKEL,1197,Upright,Refrigerator,309,1
C190L,FISHER & PAYKEL,1207,Upright,Refrigerator,290,1.5
C190R,FISHER & PAYKEL,1207,Upright,Refrigerator,290,1.5
C240B,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,584,0
C250T,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,563,0
C270,FISHER & PAYKEL,1585,Upright,Refrigerator,498,0
C270,FISHER & PAYKEL,1585,Upright,Refrigerator,340,1
C270L,FISHER & PAYKEL,1595,Upright,Refrigerator,362,1
C270R,FISHER & PAYKEL,1595,Upright,Refrigerator,362,1
C270RS,FISHER & PAYKEL,1595,Upright,Refrigerator,362,1
C370,FISHER & PAYKEL,1415,Upright,Refrigerator,607,0
C373,FISHER & PAYKEL,1415,Upright,Refrigerator,406,0
C450,FISHER & PAYKEL,1685,Upright,Refrigerator,451,0
E150,FISHER & PAYKEL,1197,Upright,Freezer,395,1
E150L,FISHER & PAYKEL,1207,Upright,Freezer,386,1.5
E150R,FISHER & PAYKEL,1207,Upright,Freezer,386,1.5
E169T,FISHER & PAYKEL,1197,Upright,Refrigerator/Freezer,338,2
E169TL,FISHER & PAYKEL,1197,Upright,Refrigerator/Freezer,347,2
E169TR,FISHER & PAYKEL,1197,Upright,Refrigerator/Freezer,347,2
E210,FISHER & PAYKEL,1585,Upright,Freezer,473,1
E210L,FISHER & PAYKEL,1595,Upright,Freezer,481,1
E210LS,FISHER & PAYKEL,1595,Upright,Freezer,481,1
E210R,FISHER & PAYKEL,1595,Upright,Freezer,481,1
E240B,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,460,1.5
E240BL,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,427,2
E240BLS,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,427,2
E240BR,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,427,2
E240BRS,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,427,2
E249T,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,387,2
E249TL,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,394,2
E249TLS,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,394,2
E249TR,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,394,2
E249TRS,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,394,2
E308,FISHER & PAYKEL,1415,Upright,Freezer,537,1.5
E308L,FISHER & PAYKEL,1425,Upright,Freezer,559,1
E308R,FISHER & PAYKEL,1425,Upright,Freezer,559,1
E331T,FISHER & PAYKEL,1415,Upright,Refrigerator/Freezer,579,0
E331T,FISHER & PAYKEL,1415,Upright,Refrigerator/Freezer,407,2.5
E331T*,FISHER & PAYKEL,1425,Upright,Refrigerator/Freezer,371,3
E331TLE,FISHER & PAYKEL,1425,Upright,Refrigerator/Freezer,405,2.5
E331TLT,FISHER & PAYKEL,1425,Upright,Refrigerator/Freezer,405,2.5
E331TRE,FISHER & PAYKEL,1425,Upright,Refrigerator/Freezer,405,2.5
E331TRT,FISHER & PAYKEL,1425,Upright,Refrigerator/Freezer,405,2.5
E361T,FISHER & PAYKEL,1415,Upright,Refrigerator/Freezer,521,0
E372B,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,700,0
E372B,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,498,2
E372B,FISHER & PAYKEL,1585,Upright,Refrigerator/Freezer,489,2
E372B*,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,455,2.5
E372BLE,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,498,2
E372BLE3,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,455,2.5
E372BLT,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,498,2
E372BLT3,FISHER & PAYKEL,1595,Upright,Refrigerator/Freezer,455,2.5
