Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GBU20KBRWW,GE,1728,Upright,Refrigerator/Freezer,572,2.5
GCA23LBY****,GE,1760,Side by Side,Refrigerator/Freezer,741,1.5
GCA23LGY****,GE,1760,Side by Side,Refrigerator/Freezer,761,1.5
GCA23XGB***,GE,1760,Side by Side,Refrigerator/Freezer,658,2
GCA24KBB****,GE,1766,Side by Side,Refrigerator/Freezer,692,2
GCU200NGWC**,GE,1790,Side by Side,Refrigerator/Freezer,760,1.5
GCU200NHWC**,GE,1790,Side by Side,Refrigerator/Freezer,760,1.5
GHE25RGX****,GE,908,Side by Side,Refrigerator/Freezer,851,1.5
GSA20IBM,GE,,Side by Side,Refrigerator/Freezer,869,0
GSA20IEM,GE,,Side by Side,Refrigerator/Freezer,1001,0
GSA22KBM,GE,,Side by Side,Refrigerator/Freezer,904,0
GSA22KEM,GE,,Side by Side,Refrigerator/Freezer,902,0
GSA22KEM,GE,,Side by Side,Refrigerator/Freezer,902,0
GSA22KEM,GE,,Side by Side,Refrigerator/Freezer,902,0
GSA25IEM,GE,,Side by Side,Refrigerator/Freezer,1049,0
GSA25IEM,GE,,Side by Side,Refrigerator/Freezer,1049,0
GSA28VGB****,GE,1766,Side by Side,Refrigerator/Freezer,741,2
GSG20IBM,GE,,Side by Side,Refrigerator/Freezer,869,0
GSG20IEM,GE,,Side by Side,Refrigerator/Freezer,1001,0
GSG22KBM,GE,,Side by Side,Refrigerator/Freezer,904,0
GSG22KEM,GE,,Side by Side,Refrigerator/Freezer,902,0
GSG25IE,GE,,Side by Side,Refrigerator/Freezer,1049,0
GSG25IEM,GE,,Side by Side,Refrigerator/Freezer,1049,0
GSG25MIM,GE,,Side by Side,Refrigerator/Freezer,1049,0
GSU230IAPCCC,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GSU230IAPCSG,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GSU230IAPCWW,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GSU230IHPCCC,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GSU230IHPCSG,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GSU230IHPCWW,GE,1808,Side by Side,Refrigerator/Freezer,910,0
GTG15,GE,,Upright,Refrigerator/Freezer,828,0
GTG15BBM,GE,,Upright,Refrigerator/Freezer,828,0
GTG15FBM,GE,,Upright,Refrigerator/Freezer,828,0
GTG15HBM,GE,,Upright,Refrigerator/Freezer,828,0
GTG16,GE,,Upright,Refrigerator/Freezer,828,0
GTG16BBM,GE,,Upright,Refrigerator/Freezer,828,0
GTG16FBM,GE,,Upright,Refrigerator/Freezer,828,0
GTG16HBM,GE,,Upright,Refrigerator/Freezer,828,0
GTU150PAX****,GE,1715,Chest,Refrigerator/Freezer,515,2.5
GTU180PAX****,GE,1715,Upright,Refrigerator/Freezer,559,2.5
GTU358BAMR,GE,1677,Upright,Refrigerator/Freezer,628,0
PDU20MFSWW,GE,1728,Upright,Refrigerator/Freezer,572,2.5
PDU20SFSSS,GE,1728,Upright,Refrigerator/Freezer,572,2.5
PFCA1NJ****,GE,,Upright,Refrigerator/Freezer,693,1.5
PFSA5NJ****,GE,,Upright,Refrigerator/Freezer,723,2
PFSE5NJ****,GE,,Upright,Refrigerator/Freezer,723,2
PSA22MIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA22MIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA22MIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA22SIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA22SIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA22SIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSA25MIM,GE,,Side by Side,Refrigerator/Freezer,1049,0
PSA25MIM,GE,,Side by Side,Refrigerator/Freezer,1049,0
PSA29VGX****,GE,1759,Side by Side,Refrigerator/Freezer,898,1.5
PSG22,GE,,Side by Side,Refrigerator/Freezer,902,0
PSG22MIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSG22SIM,GE,,Side by Side,Refrigerator/Freezer,902,0
PSG25MIM,GE,,Side by Side,Refrigerator/Freezer,1049,0
RCA24KGB****,GE,1749,Side by Side,Refrigerator/Freezer,664,2
RCA24KGBF****,GE,1749,Side by Side,Refrigerator/Freezer,664,2
RCA24VGB****,GE,1749,Side by Side,Refrigerator/Freezer,708,2
RCA25RGB****,GE,1817,Side by Side,Refrigerator/Freezer,750,2
ZSAS420D****,GE,2134,Side by Side,Refrigerator/Freezer,685,2
ZSEP420D****,GE,2134,Side by Side,Refrigerator/Freezer,685,2
