Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 BCD-88VQ53H,Galanz,,Upright,Refrigerator/Freezer,263,2
 BCD-88VQN1-53H,Galanz,,Upright,Refrigerator/Freezer,263,2
BC-127-53H,GALANZ,840,Upright,Refrigerator,292,1
BC-127B53H,GALANZ,840,Upright,Refrigerator,292,1
BC-127BQ53H,GALANZ,840,Upright,Refrigerator,292,1
BC-127Q53H,GALANZ,840,Upright,Refrigerator,292,1
BC-47-53H,GALANZ,495,Upright,Refrigerator,300,1
BC-47Q53H,GALANZ,495,Upright,Refrigerator,300,1
BCD-280WV53H,Galanz,,Upright,Refrigerator/Freezer,391,2.5
BCD-280WVC53H,GALANZ,1505,Upright,Refrigerator/Freezer,462,1.5
BCD-280WVQ53H,Galanz,,Upright,Refrigerator/Freezer,391,2.5
BCD-88V53H,Galanz,,Upright,Refrigerator/Freezer,263,2
BCD-88VN1-53H,Galanz,,Upright,Refrigerator/Freezer,263,2
BD-80-53H,GALANZ,839,Upright,Freezer,249,2
BD-80A1-53H,GALANZ,839,Upright,Freezer,249,2
BD-80A1Q53H,GALANZ,839,Upright,Freezer,249,2
BD-80Q53H,GALANZ,839,Upright,Freezer,249,2
