Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GAU122BAMRWW,GENERAL ELECTRIC,810,Upright,Refrigerator,290,1
GAU122SAMRBS,GENERAL ELECTRIC,810,Upright,Refrigerator,290,1
GAU70,GENERAL ELECTRIC,636,Upright,Refrigerator,241,0
GCG21,GENERAL ELECTRIC,1726,Side by Side,Refrigerator/Freezer,842,1
GCG21******,GENERAL ELECTRIC,1726,Side by Side,Refrigerator/Freezer,842,1
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GCG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GIG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GIG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GIG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GIG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GIG21IEMF,GENERAL ELECTRIC,908,Side by Side,Refrigerator/Freezer,894,0
GSA20IBP,GENERAL ELECTRIC,,Side by Side,Refrigerator/Freezer,761,0
GSA20IBP,GENERAL ELECTRIC,,Side by Side,Refrigerator/Freezer,761,0
GSA20IEP,GENERAL ELECTRIC,,Side by Side,Refrigerator/Freezer,811,0
GSA20IEP,GENERAL ELECTRIC,,Side by Side,Refrigerator/Freezer,811,0
GSA22KBP,GENERAL ELECTRIC,,Side by Side,Refrigerator/Freezer,777,0
