Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FN6192O*,Gorenje,1850,Upright,Freezer,301,3.5
Fridge/Freezer,Gorenje,1775,Upright,Refrigerator/Freezer,479,1.5
NRK-ORA-S,Gorenje,1795,Upright,Refrigerator/Freezer,457,1.5
NRK-ORA-W,Gorenje,1795,Upright,Refrigerator/Freezer,457,1.5
NRK2000P2,Gorenje,2000,Upright,Refrigerator/Freezer,487,2
NRK2000P2B,Gorenje,2000,Upright,Refrigerator/Freezer,487,2
NRK6192TX,Gorenje,1850,Upright,Refrigerator/Freezer,329,3
NRK62JSY2-*,Gorenje,1850,Upright,Refrigerator/Freezer,351,3
NRK6P2X,Gorenje,2000,Upright,Refrigerator/Freezer,487,2
NRKI5181LW,Gorenje,1775,Upright,Refrigerator/Freezer,463,1.5
NRKI5182PW,Gorenje,1775,Upright,Refrigerator/Freezer,382,2.5
R6192K*,Gorenje,1850,Upright,Refrigerator,189,3.5
