Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FS 3105-90,GRAM,840,Upright,Freezer,193,3.5
FS 3246-90,GRAM,1510,Upright,Freezer,327,3
FS 3286-90 N,GRAM,1850,Upright,Freezer,403,2.5
FS 5286-90 N,GRAM,1850,Upright,Freezer,379,2.5
FS120,GRAM,,Upright,Freezer,231,3
FS120-11,GRAM,850,Upright,Freezer,227,3
FS170,GRAM,1220,Upright,Freezer,273,3
FS170-11,GRAM,1220,Upright,Freezer,288,2.5
FS230,GRAM,1550,Upright,Freezer,306,3
FS230-00,GRAM,1550,Upright,Freezer,299,3
FS290,GRAM,1850,Upright,Freezer,369,2.5
FS290-00,GRAM,1850,Upright,Freezer,372,2.5
FS320,GRAM,2000,Upright,Freezer,386,2.5
FS320-00,GRAM,2000,Upright,Freezer,408,2.5
KF 3135-90,GRAM,840,Upright,Refrigerator,230,2
KF 3336-90,GRAM,1850,Upright,Refrigerator/Freezer,369,3
KF 3366-10,GRAM,2005,Upright,Refrigerator/Freezer,395,2.5
KF130,GRAM,,Upright,Refrigerator,222,2
KF130-11,GRAM,850,Upright,Refrigerator,231,2
KF310,GRAM,1850,Upright,Refrigerator/Freezer,381,2.5
KF310-01,GRAM,1850,Upright,Refrigerator/Freezer,346,3
KF320,GRAM,1850,Upright,Refrigerator/Freezer,341,3
KF320.01,GRAM,1850,Upright,Refrigerator/Freezer,329,3
KF350,GRAM,2000,Upright,Refrigerator/Freezer,399,2.5
KF350 - 01,GRAM,2000,Upright,Refrigerator/Freezer,355,3
KS 3135-90,GRAM,840,Upright,Refrigerator,206,2.5
KS 3215-90,GRAM,1220,Upright,Refrigerator,231,2.5
KS 3286-90,GRAM,1510,Upright,Refrigerator,222,3
KS 3406-90 F,GRAM,1850,Upright,Refrigerator,262,2.5
KS 5406-90 F,GRAM,1850,Upright,Refrigerator,249,3
KS150,GRAM,,Upright,Refrigerator,214,2
KS150-10,GRAM,850,Upright,Refrigerator,230,2
KS220,GRAM,1220,Upright,Refrigerator,217,2.5
KS220-11,GRAM,1220,Upright,Refrigerator,227,2.5
KS220-11,GRAM,1220,Upright,Refrigerator,227,2.5
KS290,GRAM,1550,Upright,Refrigerator,243,2.5
KS290-01,GRAM,1550,Upright,Refrigerator,213,3
KS360,GRAM,1850,Upright,Refrigerator,257,2.5
KS360-01,GRAM,1850,Upright,Refrigerator,226,3
KS360.01,GRAM,1850,Upright,Refrigerator,226,3
KS390,GRAM,2000,Upright,Refrigerator,307,2
KS390-01,GRAM,2000,Upright,Refrigerator,259,2.5
