Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AFD630IX,Haier,,Upright,Refrigerator/Freezer,590,1.5
AFD630IX,Haier,,Upright,Refrigerator/Freezer,535,1.5
AFL628CX,Haier,,Upright,Refrigerator/Freezer,459,2
AFL628CX,Haier,,Upright,Refrigerator/Freezer,500,2
BC-117SS,Haier,865,Upright,Refrigerator,360,0
BC-328U,Haier,1625,Upright,Refrigerator,472,0
BCD-409WD,Haier,1584,Upright,Refrigerator/Freezer,1018,0
BCD-509WD,Haier,1684,Upright,Refrigerator/Freezer,1010,0
BCD-568W,Haier,1675,Side by Side,Refrigerator/Freezer,1240,0
BCD-95,Haier,890,Upright,Refrigerator,399,0
BD-100H,Haier,845,Chest,Freezer,256,2
BD-142H,Haier,845,Chest,Freezer,272,2.5
BD-146GT,Haier,850,Chest,Freezer,300,2.5
BD-198H,Haier,845,Chest,Freezer,316,2.5
BD-208GT,Haier,850,Chest,Freezer,340,2.5
BD-319H,Haier,,Chest,Freezer,425,2.5
BD-519H,Haier,,Chest,Freezer,549,2.5
CFL629CW,Haier,,Upright,Refrigerator/Freezer,395,2.5
CFL629CW,Haier,,Upright,Refrigerator/Freezer,435,2.5
HBF130,Haier,865,Upright,Refrigerator,360,0
HBF130S,Haier,865,Upright,Refrigerator,360,0
HBF165,Haier,,Upright,Refrigerator,308,1
HBF55,Haier,550,Upright,Refrigerator,330,0
HBF80,Haier,676,Upright,Refrigerator,319,0
HBM295S,Haier,1650,Upright,Refrigerator/Freezer,525,1.5
HBM295W,Haier,1650,Upright,Refrigerator/Freezer,525,1.5
HBM330S,Haier,1850,Upright,Refrigerator/Freezer,550,1.5
HBM330W,Haier,1850,Upright,Refrigerator/Freezer,550,1.5
HBMF348A*,Haier,,Upright,Refrigerator/Freezer,435,2.5
HBMTD349A*,Haier,,Upright,Refrigerator/Freezer,500,2
HBMTD378I*,Haier,,Upright,Refrigerator/Freezer,590,1.5
HCF105,Haier,845,Chest,Freezer,256,2
HCF105**,Haier,,Chest,Freezer,190,3.5
HCF105A,Haier,845,Chest,Freezer,256,2
HCF105B,Haier,845,Chest,Freezer,256,2
HCF105C,Haier,845,Chest,Freezer,256,2
HCF148,Haier,845,Chest,Freezer,272,2.5
HCF148A,Haier,845,Chest,Freezer,272,2.5
HCF148B,Haier,845,Chest,Freezer,272,2.5
HCF148C,Haier,845,Chest,Freezer,272,2.5
HCF148WH**,Haier,,Chest,Freezer,225,3.5
HCF208,Haier,845,Chest,Freezer,316,2.5
HCF208A,Haier,845,Chest,Freezer,316,2.5
HCF208B,Haier,845,Chest,Freezer,316,2.5
HCF208C,Haier,845,Chest,Freezer,316,2.5
HCF208WH**,Haier,,Chest,Freezer,260,3.5
HCF264,Haier,,Chest,Freezer,295,3.5
HCF264A,Haier,,Chest,Freezer,295,3.5
HCF324,Haier,,Chest,Freezer,425,2.5
HCF324A,Haier,,Chest,Freezer,425,2.5
HCF324B,Haier,,Chest,Freezer,425,2.5
HCF324C,Haier,,Chest,Freezer,425,2.5
HCF384,Haier,,Chest,Freezer,465,2.5
HCF384A,Haier,,Chest,Freezer,465,2.5
HCF524,Haier,,Chest,Freezer,549,2.5
HCF524A,Haier,,Chest,Freezer,549,2.5
HCF524B,Haier,,Chest,Freezer,549,2.5
HCF524C,Haier,,Chest,Freezer,549,2.5
HF-128AE,Haier,,Upright,Freezer,254,2.5
HF-180T/A,Haier,1134,Upright,Freezer,461,0
HF-188S/B,Haier,,Upright,Freezer,275,2.5
HF-240T/B,Haier,1464,Upright,Freezer,442,0
HF-248,Haier,1464,Upright,Freezer,380,0
HFC150,Haier,850,Chest,Freezer,300,2.5
HFC150A,Haier,850,Chest,Freezer,300,2.5
HFC150B,Haier,850,Chest,Freezer,300,2.5
HFC210,Haier,850,Chest,Freezer,340,2.5
HFC210A,Haier,850,Chest,Freezer,340,2.5
HFC210B,Haier,850,Chest,Freezer,340,2.5
HFD635WISS,Haier,1770,Upright,Refrigerator/Freezer,600,2.5
HFD647AS,Haier,,Upright,Refrigerator/Freezer,825,1
HFD647ASS,Haier,,Upright,Refrigerator/Freezer,825,1
HFD647ASS,Haier,,Upright,Refrigerator/Freezer,800,1
HFD647AW,Haier,,Upright,Refrigerator/Freezer,825,1
HFD647AW,Haier,,Upright,Refrigerator/Freezer,800,1
HFD647WISS,Haier,,Upright,Refrigerator/Freezer,723,1.5
HFD647WISS,Haier,,Upright,Refrigerator/Freezer,789,1.5
HFF251S,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251S,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251S,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251S,Haier,1400,Upright,Refrigerator/Freezer,665,0
HFF251W,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251W,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251W,Haier,1400,Upright,Refrigerator/Freezer,594,0
HFF251W,Haier,1400,Upright,Refrigerator/Freezer,660,0
HFF251W,Haier,1400,Upright,Refrigerator/Freezer,665,0
HFF285S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF285S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF285S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF285W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF285W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF285W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF340S,Haier,1723,Upright,Refrigerator/Freezer,475,2
HFF340W,Haier,1723,Upright,Refrigerator/Freezer,475,2
HFF351S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351S,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351S,Haier,1600,Upright,Refrigerator/Freezer,594,0
HFF351W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351W,Haier,1600,Upright,Refrigerator/Freezer,615,0
HFF351W,Haier,1600,Upright,Refrigerator/Freezer,594,0
HFF518S,Haier,1741,Upright,Refrigerator/Freezer,644,0
HFF518W,Haier,1741,Upright,Refrigerator/Freezer,644,0
HFM185**,Haier,870,Chest,Freezer,309,2.5
HFSS635RS,Haier,1770,Side by Side,Refrigerator/Freezer,650,2
HFSS635RW,Haier,1770,Side by Side,Refrigerator/Freezer,650,2
HFSS635S,Haier,1770,Side by Side,Refrigerator/Freezer,650,2
HFV116,Haier,850,Upright,Freezer,310,1.5
HFV116,Haier,850,Upright,Freezer,287,2
HFV116,Haier,,Upright,Freezer,254,2.5
HFV160,Haier,1134,Upright,Freezer,320,2
HFV160,Haier,,Upright,Freezer,275,2.5
HFZ-238*,Haier,,Upright,Freezer,325,3
HFZ-85*,Haier,,Upright,Freezer,233,2.5
HR-100,Haier,676,Upright,Refrigerator,319,0
HR-130,Haier,850,Upright,Refrigerator,376,0
HR-135,Haier,865,Upright,Refrigerator,360,0
HR-140T,Haier,960,Upright,Refrigerator,366,0
HR-170T,Haier,1120,Upright,Refrigerator,367,0
HR-170T,Haier,,Upright,Refrigerator,308,1
HR-60A,Haier,550,Upright,Refrigerator,330,0
HRB227*,Haier,1648,Upright,Refrigerator/Freezer,415,2
HRF-224F*,HAIER,,Upright,Refrigerator/Freezer,337,2.5
HRF-224FS,Haier,,Upright,Refrigerator/Freezer,337,2.5
HRF-239F*,HAIER,,Upright,Refrigerator/Freezer,385,2
HRF-251FR,Haier,1400,Upright,Refrigerator/Freezer,660,0
HRF-251FR,Haier,1400,Upright,Refrigerator/Freezer,660,0
HRF-251FR,Haier,1400,Upright,Refrigerator/Freezer,660,0
HRF-251FR,Haier,1400,Upright,Refrigerator/Freezer,665,0
HRF-261F*,HAIER,,Upright,Refrigerator/Freezer,410,2
HRF-285FR,Haier,1600,Upright,Refrigerator/Freezer,615,0
HRF-285FR,Haier,1600,Upright,Refrigerator/Freezer,615,0
