Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BCD-193WB,HELLER,1462,Upright,Refrigerator/Freezer,403,1.5
BFH-5,HELLER,515,Upright,Refrigerator,288,1
BFH116,HELLER,840,Upright,Refrigerator,295,1
BFH116,HELLER,850,Upright,Refrigerator,295,1
BFH116B,HELLER,840,Upright,Refrigerator,295,1
BFH116B,HELLER,850,Upright,Refrigerator,295,1
BFH116S,HELLER,850,Upright,Refrigerator,295,1
BFH116S,HELLER,850,Upright,Refrigerator,295,1
BFH12,HELLER,865,Upright,Refrigerator,292,1
BFH120,HELLER,840,Upright,Refrigerator,270,1
BFH120B,HELLER,840,Upright,Refrigerator,270,1
BFH120SS,HELLER,840,Upright,Refrigerator,270,1
BFH12B,HELLER,865,Upright,Refrigerator,292,1
BFH12SS,HELLER,865,Upright,Refrigerator,292,1
BFH15,HELLER,845,Upright,Refrigerator,294,1
BFH6,HELLER,510,Upright,Refrigerator,249,1
BFH6,HELLER,485,Upright,Refrigerator,222,1.5
BFH6,HELLER,510,Upright,Refrigerator,249,1
BFH70,HELLER,640,Upright,Refrigerator,235,1.5
BFH70*,HELLER,640,Upright,Refrigerator,268,1
BFH80,HELLER,635,Upright,Refrigerator,245,1
Catalogue No.: BCD-193WQ,HELLER,1462,Upright,Refrigerator/Freezer,403,1.5
CFH10,HELLER,835,Chest,Freezer,251,2.5
CFH20,HELLER,835,Chest,Freezer,318,2.5
CFH30,HELLER,850,Chest,Freezer,368,3
CFH55,HELLER,835,Chest,Freezer,277,2.5
FDH-17,HELLER,845,Upright,Refrigerator,313,1
FDH-22,HELLER,1394,Upright,Refrigerator/Freezer,358,2
FDH-24 (Catalogue No. RD-24WR4HME),HELLER,1395,Upright,Refrigerator/Freezer,352,2
FDH-278 (Cat No. BCD-278W),HELLER,1692,Upright,Refrigerator/Freezer,496,1.5
FDH-36,HELLER,1520,Upright,Refrigerator/Freezer,421,2
FDH-44,HELLER,1605,Upright,Refrigerator/Freezer,458,2
FDH170,HELLER,853,Upright,Refrigerator,333,0
FDH27,HELLER,1685,Upright,Refrigerator/Freezer,421,2
FDH280,HELLER,1550,Upright,Refrigerator/Freezer,624,0
FDH32,HELLER,1669,Upright,Refrigerator/Freezer,455,2
FDH320,HELLER,1670,Upright,Refrigerator/Freezer,662,0
FDH320SS,HELLER,1670,Upright,Refrigerator/Freezer,662,0
FDH42,HELLER,1679,Upright,Refrigerator/Freezer,505,2
FDHD22,HELLER,1430,Upright,Refrigerator/Freezer,375,2
FRCH12,HELLER,830,Chest,Freezer,249,2
FRCH19,HELLER,830,Chest,Freezer,258,3
FRCH26,HELLER,576,Chest,Freezer,348,2
FRH-14 (Catalogue No. RS-17DC4HA),HELLER,1175,Upright,Freezer,330,1.5
FRH11,HELLER,540,Upright,Freezer,249,2
HCF100,HELLER,842,Chest,Freezer,252,2.5
HCF145,HELLER,842,Chest,Freezer,296,2.5
HCF200,HELLER,842,Chest,Freezer,341,2.5
HCF300,HELLER,842,Chest,Freezer,410,2.5
HF80,HELLER,,Upright,Freezer,300,1.5
HF80,HELLER,850,Upright,Freezer,230,2.5
HFF282,HELLER,1500,Upright,Refrigerator/Freezer,392,2.5
HFF420,HELLER,1756,Upright,Refrigerator/Freezer,409,3
Model FDH-86 (Cat. No. BCD-272W),HELLER,1685,Upright,Refrigerator/Freezer,430,2
Model No. : FHD20,HELLER,1462,Upright,Refrigerator/Freezer,403,1.5
PPF175,HELLER,1430,Upright,Freezer,365,2
PPFH-23,HELLER,1440,Upright,Refrigerator,348,2
PPR240,HELLER,1430,Upright,Refrigerator,351,1
PPR240,HELLER,1430,Upright,Refrigerator,270,2
PPRH-32,HELLER,1440,Upright,Refrigerator,333,1
PPRH35,HELLER,1752.5,Upright,Refrigerator,387,1
