Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HR6AF243,HISENSE,1440,Upright,Refrigerator,275,2
HR6AF351B,HISENSE,1767.5,Upright,Refrigerator,310,2
HR6AF351BS,HISENSE,1767.5,Upright,Refrigerator,310,2
HR6AFF355D,HISENSE,1746,Upright,Refrigerator,238,3
HR6AFF355SD,HISENSE,1746,Upright,Refrigerator,238,3
HR6BF120,HISENSE,845,Upright,Refrigerator,280,1
HR6BF121,HISENSE,820,Upright,Refrigerator,225,2
HR6BF121S,HISENSE,820,Upright,Refrigerator,225,2
HR6BMFF435,HISENSE,1756,Upright,Refrigerator/Freezer,488,2.5
HR6BMFF435S,HISENSE,1756,Upright,Refrigerator/Freezer,488,2.5
HR6BMFF520,HISENSE,1756,Upright,Refrigerator/Freezer,538,2.5
HR6BMFF520S,HISENSE,1756,Upright,Refrigerator/Freezer,538,2.5
HR6CF146,HISENSE,816,Chest,Freezer,256,3
HR6CF206,HISENSE,822,Chest,Freezer,300,3
HR6CF307,HISENSE,842,Chest,Freezer,365,3
HR6FDFF630S,HISENSE,1776,Upright,Refrigerator/Freezer,600,2.5
HR6TFF180,HISENSE,1394,Upright,Refrigerator/Freezer,360,2
HR6TFF222,HISENSE,1433,Upright,Refrigerator/Freezer,392,2
HR6TFF270,HISENSE,1680,Upright,Refrigerator/Freezer,425,2
HR6TFF342B,HISENSE,1690,Upright,Refrigerator/Freezer,423,2.5
HR6TFF436,HISENSE,1756,Upright,Refrigerator/Freezer,470,2.5
HR6TFF436S,HISENSE,1756,Upright,Refrigerator/Freezer,470,2.5
HR6TFF437SD,HISENSE,1756,Upright,Refrigerator/Freezer,426,3
HR6TFF526,HISENSE,1756,Upright,Refrigerator/Freezer,498,2.5
HR6TFF527SD,HISENSE,1756,Upright,Refrigerator/Freezer,471,3
HR6TFF600SD,HISENSE,1806,Upright,Refrigerator/Freezer,508,3
HR6VF176M,HISENSE,1440,Upright,Freezer,305,2.5
HR6VFF177A,HISENSE,1440,Upright,Freezer,310,2.5
HR6VFF255B,HISENSE,1762.5,Upright,Freezer,431,2
HR6VFF255BS,HISENSE,1762.5,Upright,Freezer,431,2
HR6VFF280D,HISENSE,1746,Upright,Freezer,353,3
HR6VFF280SD,HISENSE,1746,Upright,Freezer,353,3
