Model No,Brand,Control,Prog Name,Type,New CEC,New Star
R-240AT3,HITACHI,,Upright,Refrigerator/Freezer,572,0
R-360AT3,HITACHI,,Upright,Refrigerator/Freezer,700,0
R-430AT5,HITACHI,1780,Upright,Refrigerator/Freezer,474,2.5
R-430AT5 PWH,HITACHI,1780,Upright,Refrigerator/Freezer,474,2.5
R-480AT4,HITACHI,,Upright,Refrigerator/Freezer,789,0
R-550ET3,HITACHI,1710,Upright,Refrigerator/Freezer,865,0
R-550ET3X,HITACHI,1710,Upright,Refrigerator/Freezer,865,0
R-550ET5,HITACHI,1710,Upright,Refrigerator/Freezer,575,2
R-550ET5X,HITACHI,1710,Upright,Refrigerator/Freezer,575,2
R-600ET3,HITACHI,1810,Upright,Refrigerator/Freezer,875,0
R-600ET3X,HITACHI,1810,Upright,Refrigerator/Freezer,875,0
R-C6800A,Hitachi,1818,Upright,Refrigerator/Freezer,452,3.5
R-V610PT3X,HITACHI,1760,Upright,Refrigerator/Freezer,314,4.5
R-V910PT1X,HITACHI,1835,Upright,Refrigerator/Freezer,366,4.5
R-W720FPT1X,HITACHI,1835,Upright,Refrigerator/Freezer,471,3
R-WB480PT2,HITACHI,1780,Upright,Refrigerator/Freezer,371,3.5
R-WB550PT2,HITACHI,1780,Upright,Refrigerator/Freezer,405,3.5
R-Z370AT6,HITACHI,1605,Upright,Refrigerator/Freezer,463,2
R-Z400ET9,HITACHI,1605,Upright,Refrigerator/Freezer,443,2.5
R-Z410AT6,HITACHI,1695,Upright,Refrigerator/Freezer,496,2
R-Z440ET9,HITACHI,1695,Upright,Refrigerator/Freezer,465,2.5
R-Z470ET9,HITACHI,1770,Upright,Refrigerator/Freezer,445,2.5
R-Z470ET9X,HITACHI,1770,Upright,Refrigerator/Freezer,445,2.5
R-Z610ET9,HITACHI,1710,Upright,Refrigerator/Freezer,565,2.5
R-ZG470ET1,HITACHI,1770,Upright,Refrigerator/Freezer,445,2.5
R430AT5 SLS,HITACHI,1780,Upright,Refrigerator/Freezer,474,2.5
