Model No,Brand,Control,Prog Name,Type,New CEC,New Star
900578,HOMEMAKER,840,Upright,Freezer,240,2
900599,HOMEMAKER,850,Upright,Refrigerator,295,1
900619,HOMEMAKER,510,Upright,Refrigerator,249,1
HMBCD-300W,HOMEMAKER,1510,Upright,Refrigerator/Freezer,440,2
HMBF112BWW,HOMEMAKER,850,Upright,Refrigerator,295,1
HMRD-66WR4HAE/SPM,HOMEMAKER,1777,Upright,Refrigerator/Freezer,524,2.5
HMWB-120,HOMEMAKER,,Upright,Refrigerator,270,1
HMWD-150,HOMEMAKER,,Chest,Freezer,296,2.5
HMWD-200,HOMEMAKER,850,Chest,Freezer,330,2.5
SEBCD-300W,HOMEMAKER,1510,Upright,Refrigerator/Freezer,440,2
SPC-45,HOMEMAKER,,Chest,Refrigerator,267,1
TR-15Q,HOMEMAKER,845,Upright,Refrigerator,250,1.5
