Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 IF117S ,Imprasio,825,Upright,Refrigerator,262,1.5
ICF145,Imprasio,842,Chest,Freezer,296,2.5
ICF300,Imprasio,842,Chest,Freezer,410,2.5
IF-93S,Imprasio,820,Upright,Refrigerator,249,1.5
IF240S,Imprasio,1390,Upright,Refrigerator,315,1.5
IFD-540S,Imprasio,1775,Side by Side,Refrigerator/Freezer,683,1.5
IFF375S   ,Imprasio,1913,Upright,Refrigerator/Freezer,345,3.5
IFF420S,Imprasio,1756,Upright,Refrigerator/Freezer,409,1.5
IFF89S,Imprasio,850,Upright,Refrigerator/Freezer,299,1.5
IFZ180S,Imprasio,1390,Upright,Freezer,334,2.5
ISS537S,Imprasio,1760,Side by Side,Refrigerator/Freezer,723,1.5
ISS601S,Imprasio,1751,Side by Side,Refrigerator/Freezer,639,2
