Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GS2928EEDW,JENN-AIR,,Side by Side,Refrigerator/Freezer,977,0
JC2124PAD,JENN-AIR,,Side by Side,Refrigerator/Freezer,773,0
JC2228EED,JENN-AIR,,Side by Side,Refrigerator/Freezer,906,0
JC2228GEHB,JENN-AIR,,Side by Side,Refrigerator/Freezer,835,0
JC2228HEHB,JENN-AIR,,Side by Side,Refrigerator/Freezer,835,0
JC2228PEHB,JENN-AIR,,Side by Side,Refrigerator/Freezer,835,0
JCBDDD-20***,JENN-AIR,1780,Upright,Refrigerator/Freezer,738,1.5
JCBDDD-25***,JENN-AIR,1780,Upright,Refrigerator/Freezer,796,1.5
JCBJ-20***,JENN-AIR,,Upright,Refrigerator/Freezer,653,2
JCBUDDD-20-BDA,JENN-AIR,,Upright,Refrigerator/Freezer,738,1.5
JCBUDDD-20-BDS,JENN-AIR,,Upright,Refrigerator/Freezer,738,1.5
JCJI-22***,JENN-AIR,,Side by Side,Refrigerator/Freezer,784,1.5
JCJS-22*****; JCJI-22***,JENN-AIR,,Side by Side,Refrigerator/Freezer,784,1.5
JFBJ-19***,JENN-AIR,,Upright,Refrigerator/Freezer,628,2
JFUI-26***,JENN-AIR,,Side by Side,Refrigerator/Freezer,772,1.5
JFUS-26***; JFUI-26***,JENN-AIR,,Side by Side,Refrigerator/Freezer,772,1.5
JS2326CED,JENN-AIR,,Side by Side,Refrigerator/Freezer,966,0
JS2428GEHB,JENN-AIR,,Side by Side,Refrigerator/Freezer,745,0
JS2526CED,JENN-AIR,,Side by Side,Refrigerator/Freezer,1000,0
JS2628HEHB,JENN-AIR,,Side by Side,Refrigerator/Freezer,819,0
JT1526PVCW,JENN-AIR,,Upright,Refrigerator/Freezer,698,0
JT1726PCVW,JENN-AIR,,Upright,Refrigerator/Freezer,698,0
XRBS017B,JENN-AIR,,Upright,Refrigerator/Freezer,613,0
