Model No,Brand,Control,Prog Name,Type,New CEC,New Star
C220,KELVINATOR,,Upright,Refrigerator/Freezer,526,0
C300,KELVINATOR,,Upright,Refrigerator/Freezer,741,0
C360,KELVINATOR,,Upright,Refrigerator/Freezer,538,0
C360,KELVINATOR,,Upright,Refrigerator/Freezer,538,0
C410,KELVINATOR,,Upright,Refrigerator/Freezer,585,0
C520,KELVINATOR,,Upright,Refrigerator/Freezer,680,0
CB380,KELVINATOR,,Upright,Refrigerator/Freezer,569,0
CS250,KELVINATOR,,Upright,Refrigerator,541,0
CS250,KELVINATOR,,Upright,Refrigerator,491,0
CS330,KELVINATOR,,Upright,Refrigerator,630,0
CS334,KELVINATOR,,Upright,Refrigerator,600,0
CS390,KELVINATOR,,Upright,Refrigerator,550,0
CS390,KELVINATOR,,Upright,Refrigerator,504,0
F140,KELVINATOR,,Upright,Freezer,394,0
F210,KELVINATOR,,Upright,Freezer,504,0
F210,KELVINATOR,,Upright,Freezer,547,0
F300,KELVINATOR,,Upright,Freezer,739,0
F300,KELVINATOR,,Upright,Freezer,534,0
FD153,KELVINATOR,,Chest,Freezer,387,0
FN200,KELVINATOR,,Upright,Freezer,690,0
FN291,KELVINATOR,,Upright,Freezer,859,0
FN300,KELVINATOR,,Upright,Freezer,867,0
FN360,KELVINATOR,,Upright,Freezer,908,0
H150,KELVINATOR,,Chest,Freezer,387,0
H150,KELVINATOR,,Chest,Freezer,372,0
H210,KELVINATOR,,Chest,Freezer,436,0
H210,KELVINATOR,,Chest,Freezer,413,0
H320,KELVINATOR,,Chest,Freezer,503,0
H320,KELVINATOR,,Chest,Freezer,584,0
H320,KELVINATOR,,Chest,Freezer,472,0
H500,KELVINATOR,,Chest,Freezer,751,0
H500,KELVINATOR,,Chest,Freezer,590,0
H700,KELVINATOR,,Chest,Freezer,840,0
KBM3800P,KELVINATOR,,Upright,Refrigerator/Freezer,555,1.5
KBM4300W,KELVINATOR,,Upright,Refrigerator/Freezer,530,2
KBM5100P,KELVINATOR,,Upright,Refrigerator/Freezer,532,2.5
KBM5100W,KELVINATOR,,Upright,Refrigerator/Freezer,532,2.5
KCM1400WE,Kelvinator,,Chest,Freezer,234,3
KCM2000WE,Kelvinator,,Chest,Freezer,281,3
KELVINATOR H150,KELVINATOR,,Chest,Freezer,387,0
KRM1200B,KELVINATOR,820,Upright,Refrigerator,225,2
KSM6100P,KELVINATOR,,Side by Side,Refrigerator/Freezer,605,2.5
KSM6100W,KELVINATOR,,Side by Side,Refrigerator/Freezer,605,2.5
KTM2700W,KELVINATOR,1680,Upright,Refrigerator/Freezer,425,2
KTM2800W,Kelvinator,,Upright,Refrigerator/Freezer,413,2
KTM3000W,Kelvinator,,Upright,Refrigerator/Freezer,424,2
KTM3300W,Kelvinator,,Upright,Refrigerator/Freezer,437,2
KTM3900M,KELVINATOR,,Upright,Refrigerator/Freezer,450,2.5
KTM3900P,KELVINATOR,,Upright,Refrigerator/Freezer,450,2.5
KTM3900W,KELVINATOR,,Upright,Refrigerator/Freezer,450,2.5
KTM4200W,KELVINATOR,,Upright,Refrigerator/Freezer,456,2.5
KTM4400W,KELVINATOR,,Upright,Refrigerator/Freezer,484,2.5
KTM5200M,KELVINATOR,,Upright,Refrigerator/Freezer,518,2.5
KTM5200P,KELVINATOR,,Upright,Refrigerator/Freezer,518,2.5
KTM5200W,KELVINATOR,,Upright,Refrigerator/Freezer,518,2.5
M110,KELVINATOR,,Upright,Refrigerator,261,0
M140,KELVINATOR,,Upright,Refrigerator,348,0
M140,KELVINATOR,,Upright,Refrigerator,348,0
N210,KELVINATOR,,Upright,Refrigerator/Freezer,593,0
N245C,KELVINATOR,1553,Upright,Refrigerator/Freezer,569,0
N300,KELVINATOR,,Upright,Refrigerator/Freezer,596,0
N300,KELVINATOR,,Upright,Refrigerator/Freezer,785,0
N360,KELVINATOR,,Upright,Refrigerator/Freezer,519,0
N410,KELVINATOR,,Upright,Refrigerator/Freezer,576,0
N476C,KELVINATOR,1777,Upright,Refrigerator/Freezer,692,0
N520,KELVINATOR,,Upright,Refrigerator/Freezer,649,0
N640,KELVINATOR,,Side by Side,Refrigerator/Freezer,1352,0
N640,KELVINATOR,,Side by Side,Refrigerator/Freezer,1171,0
N640G,KELVINATOR,,Side by Side,Refrigerator/Freezer,1030,0
N660,KELVINATOR,,Side by Side,Refrigerator/Freezer,1287,0
N660,KELVINATOR,,Side by Side,Refrigerator/Freezer,1097,0
N660G,KELVINATOR,,Side by Side,Refrigerator/Freezer,989,0
NB380,KELVINATOR,,Upright,Refrigerator/Freezer,920,0
NB380,KELVINATOR,,Upright,Refrigerator/Freezer,811,0
NB400,KELVINATOR,,Upright,Refrigerator/Freezer,844,0
NB400,KELVINATOR,,Upright,Refrigerator/Freezer,930,0
P140,KELVINATOR,,Upright,Refrigerator,348,0
P140,KELVINATOR,,Upright,Refrigerator,348,0
P170,KELVINATOR,,Upright,Refrigerator/Freezer,383,0
P330,KELVINATOR,,Upright,Refrigerator,573,0
RS643,KELVINATOR,,Side by Side,Refrigerator/Freezer,1352,0
RS663,KELVINATOR,,Side by Side,Refrigerator/Freezer,1287,0
WESTINGHOUSE FD152,KELVINATOR,,Chest,Freezer,387,0
WESTINGHOUSE FD152,KELVINATOR,,Chest,Freezer,387,0
WESTINGHOUSE FD153,KELVINATOR,,Chest,Freezer,387,0
WESTINGHOUSE FD212,KELVINATOR,,Chest,Freezer,436,0
WESTINGHOUSE FD213,KELVINATOR,,Chest,Freezer,436,0
WESTINGHOUSE FJ208,KELVINATOR,,Upright,Freezer,690,0
WESTINGHOUSE RS645,KELVINATOR,,Side by Side,Refrigerator/Freezer,1352,0
WESTINGHOUSE RS662,KELVINATOR,,Side by Side,Refrigerator/Freezer,1287,0
