Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GB-306NP,LG,1737,Upright,Refrigerator/Freezer,398,2.5
GB-450UPL,LG,1720,Upright,Refrigerator/Freezer,341,4
GB-668QSL,LG,1740,Upright,Refrigerator/Freezer,524,3
GC-049SW,LG,495,Upright,Refrigerator,130,3.5
GC-118SW,LG,850,Upright,Refrigerator,200,2.5
GC-154SQA,LG,850,Upright,Freezer,270,2
GC-154SQS,LG,850,Upright,Freezer,270,2
GC-181SA,LG,850,Upright,Refrigerator,300,1
GC-181STA,LG,850,Upright,Refrigerator,300,1
GC-305PS,LG,1726,Upright,Refrigerator/Freezer,476,2
GC-305SW,LG,1726,Upright,Refrigerator/Freezer,476,2
GC-306NP,LG,1737,Upright,Refrigerator/Freezer,398,2.5
GC-306NW,LG,1737,Upright,Refrigerator/Freezer,398,2.5
GC-A207NIS,LG,1750,Upright,Refrigerator/Freezer,688,1.5
GC-B197CST,LG,1753,Side by Side,Refrigerator/Freezer,668,2
GC-B197CSW,LG,1753,Side by Side,Refrigerator/Freezer,668,2
GC-B197DWL,LG,1753,Side by Side,Refrigerator/Freezer,568,2.5
GC-B197HPL,LG,1753,Side by Side,Refrigerator/Freezer,568,2.5
GC-B197HWL,LG,1753,Side by Side,Refrigerator/Freezer,568,2.5
GC-B247ESL,LG,1780,Side by Side,Refrigerator/Freezer,590,2.5
GC-D237SL,LG,1790,Side by Side,Refrigerator/Freezer,670,2
GC-D247NSL,LG,1790,Side by Side,Refrigerator/Freezer,670,2
GC-D247SL,LG,1790,Side by Side,Refrigerator/Freezer,670,2
GC-L197DNL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-L197DPNL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-L197DSL,LG,1753,Side by Side,Refrigerator/Freezer,638,2
GC-L197DWNL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-L197HPNL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-L227FNSL,LG,1760,Side by Side,Refrigerator/Freezer,641,2
GC-L247ENSL,LG,1790,Side by Side,Refrigerator/Freezer,670,2
GC-P197DNSL,LG,1750,Side by Side,Refrigerator/Freezer,654,2
GC-P197DPL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-P197DPNL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-P197DPSL,LG,1753,Side by Side,Refrigerator/Freezer,638,2
GC-P197HPL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-P197HPL,LG,1753,Side by Side,Refrigerator/Freezer,654,2
GC-P197STF,LG,1753,Side by Side,Refrigerator/Freezer,638,2
GC-P197STL,LG,1753,Side by Side,Refrigerator/Freezer,638,2
GC-P227FSL,LG,1760,Side by Side,Refrigerator/Freezer,641,2
GC-P247ESL,LG,1790,Side by Side,Refrigerator/Freezer,670,2
GF-141SF,LG,1005,Upright,Freezer,550,0
GF-161SF,LG,850,Upright,Freezer,323,0
GF-5D712SL,LG,1800,Upright,Refrigerator/Freezer,740,2
GF-5D906SL,LG,1797,Upright,Refrigerator/Freezer,737,2.5
GF-AD701SL,LG,1784,Upright,Refrigerator/Freezer,641,2.5
GF-AD910SL,LG,1784,Upright,Refrigerator/Freezer,741,2.5
GF-B620SL,LG,1771,Upright,Refrigerator/Freezer,519,3
GF-D613SL,LG,1771,Upright,Refrigerator/Freezer,675,2
GF-F650RSL,LG,1740,Upright,Refrigerator/Freezer,539,3
GF-L650SL,LG,1740,Upright,Refrigerator/Freezer,539,3
GF-SD730SL,LG,1785,Upright,Refrigerator/Freezer,661,2.5
GF-SL730SL,LG,1785,Upright,Refrigerator/Freezer,580,3
GM-589NIS,LG,1708,Upright,Refrigerator/Freezer,660,2
GM-589SP,LG,1708,Upright,Refrigerator/Freezer,660,2
GM-589WVS,LG,1708,Upright,Refrigerator/Freezer,660,2
GM-663STA,LG,1741,Upright,Refrigerator/Freezer,665,2
GM-B208SS,LG,1739,Upright,Refrigerator/Freezer,650,2
GM-B208ST,LG,1744,Upright,Refrigerator/Freezer,655,2
GM-B208SW,LG,1739,Upright,Refrigerator/Freezer,650,2
GM-F208ST,LG,1737,Upright,Refrigerator/Freezer,663,2
GM-F238SS,LG,1772,Upright,Refrigerator/Freezer,738,1.5
GN-234SQA,LG,1510,Upright,Refrigerator/Freezer,409,2
GN-253SQA,LG,1600,Upright,Refrigerator/Freezer,413,2
GN-253VP,LG,1606,Upright,Refrigerator/Freezer,435,1.5
GN-303SFA,LG,1580,Upright,Refrigerator/Freezer,435,2
GN-315FP,LG,1591,Upright,Refrigerator/Freezer,443,2
GN-345HPL,LG,1711,Upright,Refrigerator/Freezer,333,3.5
GN-345HWL,LG,1711,Upright,Refrigerator/Freezer,333,3.5
GN-407GSL,LG,1725,Upright,Refrigerator/Freezer,410,3
GN-407GWL,LG,1725,Upright,Refrigerator/Freezer,410,3
GN-422FS,LG,1725,Upright,Refrigerator/Freezer,506,2
