Model No,Brand,Control,Prog Name,Type,New CEC,New Star
202VF,LEMAIR,1310,Upright,Freezer,570,0
240VF,LEMAIR,1490,Upright,Freezer,620,0
243PB,LEMAIR,1250,Upright,Refrigerator,490,0
CF-145K,LEMAIR,830,Chest,Freezer,258,3
CF-205K,LEMAIR,576,Chest,Freezer,348,0
CF-205K,LEMAIR,830,Chest,Freezer,336,2.5
CF-300K,LEMAIR,850,Chest,Freezer,368,2.5
FR-120V/HF-116R,LEMAIR,855,Upright,Freezer,404,0
FR-140V,LEMAIR,1175,Upright,Freezer,330,1.5
FR-180V,LEMAIR,1440,Upright,Freezer,348,2
FR-90VN,LEMAIR,850,Upright,Freezer,300,1.5
FR-90VN,LEMAIR,850,Upright,Freezer,300,1.5
FR-90VN,LEMAIR,850,Upright,Freezer,300,1.5
FRM-175V,LEMAIR,1430,Upright,Freezer,365,2
FRM-175V,LEMAIR,1430,Upright,Freezer,365,2
FRM-183V,LEMAIR,1430,Upright,Freezer,345,2.5
FRM-245V,LEMAIR,1705,Upright,Freezer,369,2.5
L550SXS,Lemair,1770,Side by Side,Refrigerator/Freezer,645,2
MXM-1702,LEMAIR,1420,Upright,Refrigerator/Freezer,600,0
MXM-1703,LEMAIR,1570,Upright,Refrigerator/Freezer,708,0
MXM-1707,LEMAIR,1610,Upright,Refrigerator/Freezer,647,0
RD-220FF,LEMAIR,1650,Upright,Refrigerator/Freezer,358,2
RD-240FF,LEMAIR,1466,Upright,Refrigerator/Freezer,540,0
RD-280FF,LEMAIR,1650,Upright,Refrigerator/Freezer,403,2
RD-280FF,LEMAIR,1558,Upright,Refrigerator/Freezer,628,0
RD-280FFM,LEMAIR,1520,Upright,Refrigerator/Freezer,464,1.5
RD-360FF,LEMAIR,1512,Upright,Refrigerator/Freezer,421,2
RD-360FF,LEMAIR,1500,Upright,Refrigerator/Freezer,656,0
RDM-120FF,LEMAIR,1080,Upright,Refrigerator/Freezer,381,1
RDM-280FF,LEMAIR,1500,Upright,Refrigerator/Freezer,420,2
RQ-115M,LEMAIR,560,Upright,Refrigerator,295,1
RQ-115M,LEMAIR,850,Upright,Refrigerator,295,1
RQ-130M,LEMAIR,858,Upright,Refrigerator,374,0
RQ-140M,LEMAIR,858,Upright,Refrigerator,360,0
RQ-140M(SS),LEMAIR,858,Upright,Refrigerator,360,0
RQ-280FF(SS),LEMAIR,1600,Upright,Refrigerator/Freezer,615,0
RQ-280FF(SS),LEMAIR,1600,Upright,Refrigerator/Freezer,615,0
RQ-50H,LEMAIR,510,Upright,Refrigerator,249,1
RQ-50TCL,LEMAIR,520,Upright,Refrigerator,251,1
RQ-55K,LEMAIR,515,Upright,Refrigerator,288,1
RQ-55K,LEMAIR,495,Upright,Refrigerator,301,0
RQ-55M,LEMAIR,520,Upright,Refrigerator,330,0
RQ-80H,LEMAIR,640,Upright,Refrigerator,268,1
RQ-85M,LEMAIR,667,Upright,Refrigerator,319,0
RS-240S,LEMAIR,1440,Upright,Refrigerator,333,1
RS-245S,LEMAIR,1430,Upright,Refrigerator,351,1
RS-340S,LEMAIR,1705,Upright,Refrigerator,391,1
