Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BGNDes 2956,LIEBHERR,1841,Upright,Cooled appliance,632,0
BGNDes2956,LIEBHERR,,Upright,Cooled appliance,335,0
BNes 2966,LIEBHERR,1841,Upright,Cooled appliance,632,0
BNes2966,LIEBHERR,1841,Upright,Refrigerator/Freezer,401,2.5
CBNEes6256,Liebherr,2027,Upright,Refrigerator/Freezer,511,2.5
CBNes 5167,LIEBHERR,2020,Upright,Refrigerator/Freezer,369,3.5
CBNES 5167,Liebherr,2020,Upright,Refrigerator/Freezer,369,3.5
CBNes 6256,LIEBHERR,2039,Upright,Refrigerator/Freezer,517,2.5
CBNes5067,LIEBHERR,2000,Upright,Refrigerator/Freezer,557,2
CNes 6256,LIEBHERR,2027,Upright,Refrigerator/Freezer,546,2.5
CTNesf 4613,LIEBHERR,1840,Upright,Refrigerator/Freezer,453,2.5
ECBN 5066,LIEBHERR,2027,Upright,Refrigerator/Freezer,489,2.5
ECBN 6156,LIEBHERR,2027,Upright,Refrigerator/Freezer,496,3
ECBN 6256,LIEBHERR,2027,Upright,Refrigerator/Freezer,517,2.5
ECBN5066,Liebherr,2027,Upright,Refrigerator/Freezer,485,2.5
ECBN6256,Liebherr,2027,Upright,Refrigerator/Freezer,487,3
ECN 6156,LIEBHERR,2027,Upright,Refrigerator/Freezer,530,2.5
ECN 6156,LIEBHERR,2027,Upright,Refrigerator/Freezer,530,2.5
ECN6156,Liebherr,2027,Upright,Refrigerator/Freezer,527,2.5
GEL1923,LIEBHERR,1393,Upright,Freezer,365,0
GEL1923,LIEBHERR,1393,Upright,Freezer,365,0
GI1923,LIEBHERR,1393,Upright,Freezer,365,0
GI1923,LIEBHERR,1393,Upright,Freezer,365,0
GIU1313,LIEBHERR,,Upright,Freezer,519,0
GIU1313,LIEBHERR,820,Upright,Freezer,337,1.5
GNP3376,LIEBHERR,1841,Upright,Freezer,378,3
GSN3326,LIEBHERR,,Upright,Freezer,355,0
GSND3316,LIEBHERR,1835,Upright,Freezer,441,0
GSND3326,LIEBHERR,1835,Upright,Freezer,441,0
KEKNv5056,LIEBHERR,2000,Upright,Refrigerator/Freezer,713,0
KEKNv5056,LIEBHERR,,Upright,Refrigerator/Freezer,640,1.5
KELV2840,LIEBHERR,1393,Upright,Refrigerator,299,0
KELV2860,LIEBHERR,1393,Upright,Refrigerator,299,0
KELV3860,LIEBHERR,1393,Upright,Refrigerator,299,0
KIEV2840,LIEBHERR,1393,Upright,Refrigerator,299,0
KIEV2860,LIEBHERR,1393,Upright,Refrigerator,299,0
KIEV2860,LIEBHERR,1393,Upright,Refrigerator,299,0
KIKNv 3046,LIEBHERR,1770,Upright,Refrigerator/Freezer,527,1
KIKNv 3056,LIEBHERR,1770,Upright,Refrigerator/Freezer,527,1
KIKNv30*6,LIEBHERR,1769,Upright,Refrigerator/Freezer,527,0
KIKNv3046,LIEBHERR,1769,Upright,Refrigerator/Freezer,527,0
KIKNv3056,LIEBHERR,1769,Upright,Refrigerator/Freezer,527,0
KIKV3143,LIEBHERR,1778,Upright,Refrigerator/Freezer,487,0
KIKV3163,LIEBHERR,1778,Upright,Refrigerator/Freezer,487,0
KIKv3163,LIEBHERR,,Upright,Refrigerator/Freezer,487,0
KIU1444,LIEBHERR,,Upright,Refrigerator,397,0
KIU1640,LIEBHERR,820,Upright,Refrigerator,302,1
KIU1640,LIEBHERR,,Upright,Refrigerator,355,0
KIUe1350,LIEBHERR,918,Upright,Refrigerator,310,0
KIUe1350,LIEBHERR,918,Upright,Refrigerator,310,1
KSPv42*0 and KSPves42*0,LIEBHERR,,Upright,Refrigerator,209,0
KSSV4260,LIEBHERR,,Upright,Refrigerator,281,0
KUv 1712,LIEBHERR,820,Upright,Refrigerator,267,1.5
KUV1712,Liebherr,815,Upright,Refrigerator,267,1.5
SBNes 2900,LIEBHERR,1841,Upright,Refrigerator/Freezer,401,2.5
SBNes3210,Liebherr,1852,Upright,Refrigerator/Freezer,358,3
SGNes 2800,LIEBHERR,1841,Upright,Freezer,343,3
SGNes 3012,LIEBHERR,1852,Upright,Freezer,463,2
SICBN 3356,LIEBHERR,1770,Upright,Refrigerator/Freezer,335,3
SICBN 3366,LIEBHERR,1770,Upright,Refrigerator/Freezer,340,3
SICBN3056,Liebherr,1776,Upright,Refrigerator/Freezer,461,1.5
SICBN3066,Liebherr,1776,Upright,Refrigerator/Freezer,461,1.5
SICBN3356,Liebherr,1770,Upright,Refrigerator/Freezer,335,3
SICBN3366,Liebherr,1770,Upright,Refrigerator/Freezer,340,3
SICN 3056,LIEBHERR,1770,Upright,Refrigerator/Freezer,402,2
SICN 3066,LIEBHERR,1770,Upright,Refrigerator/Freezer,402,2
SICN 3314,LIEBHERR,1770,Upright,Refrigerator/Freezer,300,3.5
SICN 3356,LIEBHERR,1770,Upright,Refrigerator/Freezer,300,3.5
SICN 3366,LIEBHERR,1770,Upright,Refrigerator/Freezer,336,3
SICN3056,Liebherr,1770,Upright,Refrigerator/Freezer,402,2
SICN3066,Liebherr,1770,Upright,Refrigerator/Freezer,402,2
SICN3356,Liebherr,1770,Upright,Refrigerator/Freezer,300,3.5
SICN3366,Liebherr,1770,Upright,Refrigerator/Freezer,336,3
SIGN 3576,LIEBHERR,1770,Upright,Freezer,331,3
SIGN3576,Liebherr,1770,Upright,Freezer,331,3
SIKB 3550,LIEBHERR,1770,Upright,Refrigerator,328,1.5
SIKB3550,Liebherr,1770,Upright,Refrigerator,328,1.5
SIKP 2850,LIEBHERR,1395,Upright,Refrigerator,310,1.5
SIKP2850,Liebherr,1397,Upright,Refrigerator,310,1.5
SKBes 4210,LIEBHERR,1852,Upright,Refrigerator,252,3
SKBes 4212,LIEBHERR,1852,Upright,Refrigerator,284,2.5
SKBes 4213,LIEBHERR,1852,Upright,Refrigerator,281,2.5
SKBES4211,Liebherr,1852,Upright,Refrigerator,252,3
