Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BC-128,MIDEA,850,Upright,Refrigerator,275,1
BC-128S,MIDEA,850,Upright,Refrigerator,275,1
BC-50,MIDEA,492,Upright,Refrigerator,233,1
CE-BCD280W-M,MIDEA,,Upright,Refrigerator/Freezer,460,1.5
HC-698WEN(CSN),Midea,1760,Side by Side,Refrigerator/Freezer,723,1.5
HC-698WN(SN),Midea,1760,Side by Side,Refrigerator/Freezer,723,1.5
HC-702WE(MN),Midea,1775,Upright,Refrigerator/Freezer,683,2
HC-705WEN(SN),Midea,1775,Upright,Refrigerator/Freezer,683,2
HD-220FW,Midea,1275,Upright,Refrigerator/Freezer,420,1.5
HD-220FW,Midea,1275,Upright,Refrigerator/Freezer,420,1.5
HD-247FW,Midea,1390,Upright,Refrigerator/Freezer,420,1.5
HD-247FW(Z),Midea,1375,Upright,Refrigerator/Freezer,390,2
HD-253FW,Midea,1390,Upright,Refrigerator/Freezer,427,1.5
HD-253FW,Midea,1390,Upright,Refrigerator/Freezer,427,1.5
HD-273FN,MIDEA,,Upright,Refrigerator/Freezer,310,2.5
HD-273FW,Midea,1485,Upright,Refrigerator/Freezer,438,1.5
HD-273FW,Midea,1485,Upright,Refrigerator/Freezer,438,1.5
HD-296FW,Midea,1600,Upright,Refrigerator/Freezer,457,1.5
HD-296FW(Z),Midea,1585,Upright,Refrigerator/Freezer,416,2
HD-306FW,Midea,1600,Upright,Refrigerator/Freezer,445,1.5
HD-306FW,Midea,1600,Upright,Refrigerator/Freezer,445,1.5
HD-363FW,Midea,1520,Upright,Refrigerator/Freezer,464,1.5
HD-363FW,Midea,1520,Upright,Refrigerator/Freezer,464,1.5
HD-363FW,Midea,1520,Upright,Refrigerator/Freezer,464,1.5
HD-366FW,MIDEA,,Upright,Refrigerator/Freezer,394,2.5
HD-368RWEN,MIDEA,1520,Upright,Refrigerator/Freezer,412,2.5
HD-496FW,Midea,1712,Upright,Refrigerator/Freezer,456,2.5
HD-496FW,Midea,1712,Upright,Refrigerator/Freezer,472,2.5
HD-496FWS,Midea,1712,Upright,Refrigerator/Freezer,456,2.5
HD-496FWS,Midea,1712,Upright,Refrigerator/Freezer,472,2.5
HD-546FWEN,MIDEA,,Upright,Refrigerator/Freezer,496,2.5
HS-121LN(SN),Midea,850,Upright,Refrigerator,218,2
HS-137RN,Midea,850,Upright,Refrigerator,256,1.5
HS-137RNS,Midea,850,Upright,Refrigerator,256,1.5
HS-185CN(2NE),Midea,,Chest,Freezer,314,2
HS-185CN(2NEL),Midea,,Chest,Freezer,314,2
HS-208FN,MIDEA,,Upright,Freezer,237,3.5
HS-241FN,Midea,1440,Upright,Freezer,362,2
HS-258CN(2NE),Midea,,Chest,Freezer,358,2
HS-258CN(2NEL),Midea,,Chest,Freezer,358,2
HS-306LN,MIDEA,,Upright,Refrigerator,194,3
HS-390CN(A),Midea,850,Chest,Freezer,402,2.5
HS-390CN(B),Midea,850,Chest,Freezer,402,2.5
HS-390CN(C),Midea,850,Chest,Freezer,402,2.5
HS-390CN(D),Midea,850,Chest,Freezer,402,2.5
HS-390CN(WAL),Midea,850,Chest,Freezer,402,2.5
HS-390CN(WBL),Midea,850,Chest,Freezer,402,2.5
HS-390CN(WCL),Midea,850,Chest,Freezer,402,2.5
HS-390CN(WDL),Midea,850,Chest,Freezer,402,2.5
HS-502FWE,MIDEA,,Upright,Freezer,621,1.5
HS-546CN(A),Midea,865,Chest,Freezer,492,2.5
HS-546CN(B),Midea,865,Chest,Freezer,492,2.5
HS-546CN(C),Midea,865,Chest,Freezer,492,2.5
HS-546CN(D),Midea,865,Chest,Freezer,492,2.5
HS-546CN(WAL),Midea,865,Chest,Freezer,492,2.5
HS-546CN(WBL),Midea,865,Chest,Freezer,492,2.5
HS-546CN(WCL),Midea,865,Chest,Freezer,492,2.5
HS-546CN(WDL),Midea,865,Chest,Freezer,492,2.5
HS-65LN(2N),MIDEA,450,Upright,Refrigerator,249,1
HS-88LN,Midea,632,Upright,Refrigerator,212,1.5
HS-88LN,Midea,632,Upright,Refrigerator,212,1.5
MHD-238FW,MIDEA,1374,Upright,Refrigerator/Freezer,369,2
MHD-251FW,MIDEA,1462,Upright,Refrigerator/Freezer,350,2.5
MHD-264FW,MIDEA,1534,Upright,Refrigerator/Freezer,405,2
MHD-300RWN,MIDEA,1718,Upright,Refrigerator/Freezer,511,1
WD-145,MIDEA,535,Chest,Freezer,298,2
WD-150,MIDEA,850,Chest,Freezer,296,2.5
WD-195,MIDEA,610,Chest,Freezer,336,2.5
WD-60,MIDEA,850,Chest,Freezer,210,2
WD-97,MIDEA,850,Chest,Freezer,260,2
