Model No,Brand,Control,Prog Name,Type,New CEC,New Star
F 1471 Vi,MIELE,,Upright,Freezer,485,1.5
F 1811 Vi,MIELE,,Upright,Freezer,620,2
F 9552 i,MIELE,,Upright,Freezer,271,3
FN 12827 S,MIELE,,Upright,Freezer,310,3.5
FN 12827 S edt,MIELE,,Upright,Freezer,310,3.5
FN 12827 S edt/cs,MIELE,,Upright,Freezer,310,3.5
FN 14827 S ed,MIELE,,Upright,Freezer,310,3.5
FN 14827 S ed/cs,MIELE,,Upright,Freezer,310,3.5
FN 9752 i,MIELE,,Upright,Freezer,329,3
FNS 37402 i,MIELE,,Upright,Freezer,331,3
K 12820 SD,MIELE,,Upright,Refrigerator,279,2.5
K 12820 SD edt,MIELE,,Upright,Refrigerator,279,2.5
K 12820 SD edt/cs,MIELE,,Upright,Refrigerator,279,2.5
K 14820 SD ed,MIELE,,Upright,Refrigerator,279,2.5
K 14820 SD ed/cs,MIELE,,Upright,Refrigerator,279,2.5
K 14827 SD ed,MIELE,,Upright,Refrigerator,252,3
K 14827 SD ed/cs,MIELE,,Upright,Refrigerator,252,3
K 1801 Vi,MIELE,,Upright,Refrigerator,350,2
K 9552 iD,MIELE,,Upright,Refrigerator,289,1.5
K 9752 iD,MIELE,,Upright,Refrigerator,326,1.5
K8952SD,MIELE,,Upright,Refrigerator,272,2.5
KF 1911 Vi,MIELE,,Upright,Refrigerator/Freezer,530,3
KFN 12823 SD,MIELE,,Upright,Refrigerator/Freezer,414,2.5
KFN 12823 SD edt,MIELE,,Upright,Refrigerator/Freezer,414,2.5
KFN 12823 SD edt/cs-1,MIELE,,Upright,Refrigerator/Freezer,414,2.5
KFN 14827 SDE ed,MIELE,,Upright,Refrigerator/Freezer,358,3
KFN 14827 SDE ed/cs,MIELE,,Upright,Refrigerator/Freezer,358,3
KFN 14842 SD ed,MIELE,,Upright,Refrigerator/Freezer,352,3.5
KFN 14842 SD ed/cs,MIELE,,Upright,Refrigerator/Freezer,352,3.5
KFN 9753 iD,MIELE,,Upright,Refrigerator/Freezer,420,2
KFN 9755 iDE,MIELE,,Upright,Refrigerator/Freezer,465,1.5
KFN 9758 iD,MIELE,,Upright,Refrigerator/Freezer,366,2.5
KFN 9758 iD-3,MIELE,,Upright,Refrigerator/Freezer,366,2.5
KFN8701 SE ed-1,MIELE,1841,Upright,Refrigerator/Freezer,459,2
KFN8993SDE,MIELE,2000,Upright,Refrigerator/Freezer,572,2
KFN8997SE,MIELE,2000,Upright,Refrigerator/Freezer,529,2
KFNS 37432 iD,MIELE,,Upright,Refrigerator/Freezer,300,3.5
KFNS 37452 iDE,MIELE,,Upright,Refrigerator/Freezer,336,3
KFNS 37682 iD,MIELE,,Upright,Refrigerator/Freezer,335,3
KFNS 37692 IDE,MIELE,,Upright,Refrigerator/Freezer,340,3
KS 37422 iD,MIELE,,Upright,Refrigerator,238,3
KS 37472 iD,MIELE,,Upright,Refrigerator,328,1.5
KTN 14840 SD ed,MIELE,,Upright,Refrigerator/Freezer,364,3.5
KTN 14840 SD ed/cs,MIELE,,Upright,Refrigerator/Freezer,364,3.5
KWFN8706SE,MIELE,1801,Upright,Cooled appliance,359,2.5
