Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MBF050WH,MISTRAL,,Upright,Refrigerator,266,1
MBF070RH,MISTRAL,495,Upright,Refrigerator,302,0
MBF070RH(H),MISTRAL,500,Upright,Refrigerator,280,1
MBF070SS(H),MISTRAL,500,Upright,Refrigerator,280,1
MBF115,MISTRAL,878,Upright,Refrigerator,260,1.5
MBF140RH,MISTRAL,860,Upright,Refrigerator,357,0
MBF140RH(H),MISTRAL,725,Upright,Refrigerator,270,1
MBF140SS(H),MISTRAL,725,Upright,Refrigerator,270,1
MCF070,MISTRAL,850,Chest,Freezer,210,2
MCF105,MISTRAL,850,Chest,Freezer,260,2
MUF-360,MISTRAL,1500,Upright,Refrigerator/Freezer,656,0
MUF-360,MISTRAL,1512,Upright,Refrigerator/Freezer,712,0
MURF110RH,MISTRAL,865,Upright,Freezer,413,0
MURF136,MISTRAL,1120,Upright,Freezer,330,1.5
MURF90SS(H),MISTRAL,850,Upright,Freezer,248,2
