Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MF-U160B-W-A,MITSUBISHI ELECTRIC,1291,Upright,Freezer,436,1
MF-U160C-ST-A,MITSUBISHI ELECTRIC,1291,Upright,Freezer,436,1
MF-U160C-W-A,MITSUBISHI ELECTRIC,1291,Upright,Freezer,436,1
MF-U160S-ST-A,MITSUBISHI ELECTRIC,1289,Upright,Freezer,436,1
MF-U160S-W-A,MITSUBISHI ELECTRIC,1289,Upright,Freezer,436,1
MF-U160SL-ST-A,MITSUBISHI ELECTRIC,1289,Upright,Freezer,436,1
MF-U160SL-W-A,MITSUBISHI ELECTRIC,1289,Upright,Freezer,436,1
MR-255E****,MITSUBISHI ELECTRIC,1571,Upright,Refrigerator/Freezer,587,0
MR-255J****,MITSUBISHI ELECTRIC,1571,Upright,Refrigerator/Freezer,587,0
MR-255M****,MITSUBISHI ELECTRIC,1588,Upright,Refrigerator/Freezer,488,0
MR-260B-ST-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260B-W-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260C-ST-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260C-W-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260G*****,MITSUBISHI ELECTRIC,1577,Upright,Refrigerator/Freezer,425,2
MR-260S-ST-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,431,1.5
MR-260S-W-A,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,431,1.5
MR-260S*****,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,431,1.5
MR-260X-ST-A1,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260X-ST-NZ,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,431,1.5
MR-260X-W-A1,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,425,2
MR-260X-W-NZ,MITSUBISHI ELECTRIC,1592,Upright,Refrigerator/Freezer,431,1.5
MR-360E****,MITSUBISHI ELECTRIC,1576,Upright,Refrigerator/Freezer,697,0
MR-360J****,MITSUBISHI ELECTRIC,1576,Upright,Refrigerator/Freezer,663,0
MR-360M****,MITSUBISHI ELECTRIC,1576,Upright,Refrigerator/Freezer,586,0
MR-385B-ST-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,490,2
MR-385B-W-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,490,2
MR-385BL-ST-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,490,2
MR-385BL-W-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,490,2
MR-385C-ST-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,460,2.5
MR-385C-W-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,460,2.5
MR-385CL-ST-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,460,2.5
MR-385CL-W-A,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,460,2.5
MR-385E*****,MITSUBISHI ELECTRIC,1589,Upright,Refrigerator/Freezer,460,2.5
MR-385S-ST-A,MITSUBISHI ELECTRIC,1591,Upright,Refrigerator/Freezer,490,2
MR-385S-W-A,MITSUBISHI ELECTRIC,1591,Upright,Refrigerator/Freezer,490,2
MR-385S*****,MITSUBISHI ELECTRIC,1591,Upright,Refrigerator/Freezer,490,2
MR-385SL-ST-A,MITSUBISHI ELECTRIC,1591,Upright,Refrigerator/Freezer,490,2
MR-385SL-W-A,MITSUBISHI ELECTRIC,1591,Upright,Refrigerator/Freezer,490,2
MR-385X-ST-NZ,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,452,2.5
MR-385X-W-NZ,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,452,2.5
MR-385XL-ST-NZ,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,452,2.5
MR-385XL-W-NZ,MITSUBISHI ELECTRIC,1587,Upright,Refrigerator/Freezer,452,2.5
MR-395E****,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,728,0
MR-395J****,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,691,0
MR-395M-ST-A,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,632,0
MR-395M****,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,632,0
MR-420-XL-W-NZ,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420B-ST-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420B-W-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420BL-ST-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420BL-W-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420C-ST-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,480,2.5
MR-420C-W-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,480,2.5
MR-420CL-ST-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,480,2.5
MR-420CL-W-A,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,480,2.5
MR-420E*****,MITSUBISHI ELECTRIC,1694,Upright,Refrigerator/Freezer,480,2.5
MR-420S-ST-A,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,495,2
MR-420S-W-A,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,495,2
MR-420S*****,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,495,2
MR-420SL-ST-A,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,495,2
MR-420SL-W-A,MITSUBISHI ELECTRIC,1696,Upright,Refrigerator/Freezer,495,2
MR-420X-ST-NZ,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420X-W-NZ,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-420XL-ST-NZ,MITSUBISHI ELECTRIC,1692,Upright,Refrigerator/Freezer,495,2
MR-455B-ST-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455B-W-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455BL-ST-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455BL-W-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455C-ST-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,495,2.5
MR-455C-W-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,495,2.5
MR-455CL-ST-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,495,2.5
MR-455CL-W-A,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,495,2.5
MR-455E*****,MITSUBISHI ELECTRIC,1804,Upright,Refrigerator/Freezer,495,2.5
MR-455S-ST-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455S-W-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455S*****,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455SL-ST-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455SL-W-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455T-ST-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455T-ST-A(NZ),MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455T-W-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455T-W-A(NZ),MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455TL-ST-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455TL-W-A,MITSUBISHI ELECTRIC,1806,Upright,Refrigerator/Freezer,525,2
MR-455X-ST-NZ,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455X-W-NZ,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455XL-ST-NZ,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-455XL-W-NZ,MITSUBISHI ELECTRIC,1802,Upright,Refrigerator/Freezer,525,2
MR-508B-ST-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508B-W-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508BL-ST-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508BL-W-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508C-ST-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508C-W-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508CL-ST-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508CL-W-A,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508E*****,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,809,0
MR-508E*****,MITSUBISHI ELECTRIC,1652,Upright,Refrigerator/Freezer,540,2.5
MR-508J*****,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,824,0
MR-508M-ST-A,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-508M-W-A,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-508M****,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-508ML-W-A,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-508P-W-A,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-508PL-W-A,MITSUBISHI ELECTRIC,1654,Upright,Refrigerator/Freezer,758,0
MR-560B-ST-A,MITSUBISHI ELECTRIC,1777,Upright,Refrigerator/Freezer,570,2
MR-560B-W-A,MITSUBISHI ELECTRIC,1777,Upright,Refrigerator/Freezer,570,2
MR-560BL-ST-A,MITSUBISHI ELECTRIC,1777,Upright,Refrigerator/Freezer,570,2
