Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FR-050R,NEC,511,Upright,Refrigerator,295,1
FR-053,NEC,511,Upright,Refrigerator,320,0
FR-054R,NEC,511,Upright,Refrigerator,320,0
FR-080R,NEC,726,Upright,Refrigerator,305,1
FR-083,NEC,726,Upright,Refrigerator,340,0
FR-084R,NEC,726,Upright,Refrigerator,340,0
FR-130R,NEC,858,Upright,Refrigerator,311,1
FR-130RP,NEC,858,Upright,Refrigerator,311,1
FR-135,NEC,858,Upright,Refrigerator,380,0
FR-136R,NEC,858,Upright,Refrigerator,380,0
FR-136RP,NEC,858,Upright,Refrigerator,380,0
FR-236,NEC,1600,Upright,Refrigerator/Freezer,580,0
FR-345,NEC,1677,Upright,Refrigerator/Freezer,560,0
FR-358,NEC,1727,Upright,Refrigerator/Freezer,680,0
FR-358,NEC,1727,Upright,Refrigerator/Freezer,628,0
FR-393,NEC,1744,Upright,Refrigerator/Freezer,647,0
FR-405,NEC,,Upright,Refrigerator/Freezer,645,0
FR-405P,NEC,,Upright,Refrigerator/Freezer,645,0
FR-450,NEC,,Upright,Refrigerator/Freezer,750,0
FR-450,NEC,,Upright,Refrigerator/Freezer,750,0
FR-480,NEC,,Upright,Refrigerator/Freezer,781,0
FR-480P,NEC,,Upright,Refrigerator/Freezer,781,0
FR-516R,NEC,1810,Upright,Refrigerator/Freezer,1091,0
FR-541,NEC,1819,Upright,Refrigerator/Freezer,695,0
FR-54D,NEC,1819,Upright,Refrigerator/Freezer,675,0
NBR110R**,NEC,865,Upright,Refrigerator,292,1
NBR110RSS,NEC,865,Upright,Refrigerator,292,1
NBR110RWH,NEC,865,Upright,Refrigerator,292,1
NTM-250RWH/NTM-250RSS,NEC,1620,Upright,Refrigerator/Freezer,390,2
NTM260R**,NEC,1308,Upright,Refrigerator/Freezer,414,2
NTM260RSS,NEC,1308,Upright,Refrigerator/Freezer,414,2
NTM260RWH,NEC,1308,Upright,Refrigerator/Freezer,414,2
NTM410R**,NEC,1759,Upright,Refrigerator/Freezer,495,2
NTM510R**,NEC,1809,Upright,Refrigerator/Freezer,540,2
NVF85R**,NEC,865,Upright,Freezer,265,2
NVF85RSS,NEC,865,Upright,Freezer,265,2
NVF85RWH,NEC,865,Upright,Freezer,265,2
SBS-645 / SBS-645P,NEC,1808,Side by Side,Refrigerator/Freezer,710,2
