Model No,Brand,Control,Prog Name,Type,New CEC,New Star
43,NIGHTINGALE,1685,Upright,Refrigerator/Freezer,421,2
NF-131F,NIGHTINGALE,1175,Upright,Freezer,330,1.5
NF-278,NIGHTINGALE,1692,Upright,Refrigerator/Freezer,496,1.5
NF-286,NIGHTINGALE,1685,Upright,Refrigerator/Freezer,430,2
NF-340,NIGHTINGALE,1520,Upright,Refrigerator/Freezer,458,2
NF-488FR/A,NIGHTINGALE,1576,Upright,Refrigerator/Freezer,650,0
NF-488FR/A(SS),NIGHTINGALE,1576,Upright,Refrigerator/Freezer,650,0
NF-588FR/A,NIGHTINGALE,1684,Upright,Refrigerator/Freezer,690,0
NF-588FR/A(SS),NIGHTINGALE,1684,Upright,Refrigerator/Freezer,690,0
NF-60A,NIGHTINGALE,550,Upright,Refrigerator,330,0
NF-688FR/A,NIGHTINGALE,1675,Side by Side,Refrigerator/Freezer,1240,0
NF-688FR/A(SS),NIGHTINGALE,1675,Side by Side,Refrigerator/Freezer,1240,0
