Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HD-496S,NOUVEAU,1712,Upright,Refrigerator/Freezer,436,2.5
HD-496W,NOUVEAU,1712,Upright,Refrigerator/Freezer,436,2.5
HD300,NOUVEAU,,Upright,Refrigerator/Freezer,487,1.5
HS-126C WH,NOUVEAU,850,Chest,Freezer,228,2.5
HS-241,NOUVEAU,1440,Upright,Freezer,360,2
HS-319,NOUVEAU,1440,Upright,Refrigerator,305,1.5
MRF-398E,NOUVEAU,1638,Upright,Refrigerator/Freezer,442,2
MRF-398N,NOUVEAU,1638,Upright,Refrigerator/Freezer,442,2
NV-385R,NOUVEAU,1591,Upright,Refrigerator/Freezer,488,2
NV-385R-ST-A,NOUVEAU,1591,Upright,Refrigerator/Freezer,488,2
NV-385R-W-A,NOUVEAU,1591,Upright,Refrigerator/Freezer,488,2
NVBD-200,NOUVEAU,835,Chest,Freezer,334,2.5
NVBD300,NOUVEAU,880,Chest,Freezer,373,2.5
NVDB200,NOUVEAU,835,Chest,Freezer,285,3
RD-110S,NOUVEAU,790,Upright,Freezer,270,2
RD-110W,NOUVEAU,790,Upright,Freezer,270,2
RS-143S,NOUVEAU,890,Upright,Refrigerator,315,1
RS-143W,NOUVEAU,890,Upright,Refrigerator,315,1
