Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FB*600*,OMEGA,1790,Side by Side,Refrigerator/Freezer,760,1.5
FB*600No.,OMEGA,1790,Side by Side,Refrigerator/Freezer,760,1.5
FBR616P/FRR616M,OMEGA,1808,Side by Side,Refrigerator/Freezer,780,1.5
FBR616P/FRR616M,OMEGA,1808,Side by Side,Refrigerator/Freezer,780,1.5
FBS600*,OMEGA,1790,Upright,Refrigerator/Freezer,650,2
FBS600No.,OMEGA,1790,Side by Side,Refrigerator/Freezer,650,2
FBS645P/FBS645W/FRS645S,OMEGA,1808,Side by Side,Refrigerator/Freezer,710,2
FBW616P/FBW616W/FRW616S,OMEGA,1808,Side by Side,Refrigerator/Freezer,740,1.5
FRR616S,OMEGA,1808,Side by Side,Refrigerator/Freezer,780,1.5
FRR721*/FBR721*,OMEGA,1808,Side by Side,Refrigerator/Freezer,840,1.5
OA4502K,OMEGA,1759,Upright,Refrigerator/Freezer,660,0
OFS16XA,OMEGA,1790,Side by Side,Refrigerator/Freezer,760,1.5
OFS6XA,OMEGA,1790,Side by Side,Refrigerator/Freezer,650,2
OFSB6XA,OMEGA,1790,Side by Side,Refrigerator/Freezer,760,1.5
TM-405*#,OMEGA,1759,Upright,Refrigerator/Freezer,495,2
TM246*,OMEGA,1620,Upright,Refrigerator/Freezer,430,1.5
TM246P/TM246W,OMEGA,1620,Upright,Refrigerator/Freezer,390,2
TM405*#,OMEGA,1759,Upright,Refrigerator/Freezer,495,2
TM543*,OMEGA,1818,Upright,Refrigerator/Freezer,560,2
TM555**,OMEGA,1772,Upright,Refrigerator/Freezer,520,2.5
