Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PAL112BFZ,Palsonic,860,Upright,Refrigerator,224,2
PAL115BFZ,Palsonic,845,Upright,Refrigerator,245,1.5
PAL120SS,Palsonic,845,Upright,Refrigerator,250,1.5
PAL142CHF,Palsonic,850,Chest,Freezer,314,2
PAL150BFZ,Palsonic,845,Upright,Refrigerator,250,1.5
PAL150CHF,Palsonic,835,Chest,Freezer,305,2
PAL172FZ,Palsonic,1420,Upright,Freezer,237,3.5
PAL177FZ,Palsonic,1405,Upright,Freezer,280,3
PAL180FZ,Palsonic,1440,Upright,Freezer,362,2
PAL190FF,Palsonic,1390,Upright,Refrigerator/Freezer,420,1.5
PAL198CHF,Palsonic,850,Chest,Freezer,358,2
PAL200CHF,Palsonic,835,Chest,Freezer,340,2.5
PAL228FF,Palsonic,1600,Upright,Refrigerator/Freezer,457,1.5
PAL236FR,Palsonic,1405,Upright,Refrigerator,270,2
PAL237FR,Palsonic,1420,Upright,Refrigerator,194,3
PAL245FR,Palsonic,1440,Upright,Refrigerator,330,1
PAL258FF,Palsonic,1585,Upright,Refrigerator/Freezer,416,2
PAL280FF,Palsonic,1520,Upright,Refrigerator/Freezer,464,1.5
PAL295CHF,Palsonic,850,Chest,Freezer,310,3.5
PAL300CHF,Palsonic,850,Chest,Freezer,402,2.5
PAL380FF,Palsonic,1712,Upright,Refrigerator/Freezer,456,2.5
PAL380FF,Palsonic,1712,Upright,Refrigerator/Freezer,472,2.5
PAL380SS,Palsonic,1712,Upright,Refrigerator/Freezer,456,2.5
PAL380SS,Palsonic,1712,Upright,Refrigerator/Freezer,472,2.5
PAL400FF,Palsonic,1712,Upright,Refrigerator/Freezer,464,2.5
PAL50BFZ,Palsonic,492,Upright,Refrigerator,245,1
PAL50BFZ,Palsonic,492,Upright,Refrigerator,249,1
PAL601BFZ,Palsonic,525,Chest,Refrigerator,185,2
PAL81FZ,Palsonic,845,Upright,Freezer,240,2
PAL91FF,Palsonic,837,Upright,Refrigerator/Freezer,263,2
PAL92FZ,Palsonic,860,Upright,Freezer,209,3
PAL95BFZ,Palsonic,450,Upright,Refrigerator,218,2
