Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PBD155,PRIMA,830,Chest,Freezer,296,2.5
PBF115,PRIMA,725,Upright,Refrigerator,313,0
PBF115,PRIMA,840,Upright,Refrigerator,295,1
PBF115B,PRIMA,840,Upright,Refrigerator,295,1
PBF115S,PRIMA,725,Upright,Refrigerator,313,0
PBF115SS,PRIMA,840,Upright,Refrigerator,295,1
PBF50,PRIMA,500,Upright,Refrigerator,183,2
PCF097,PRIMA,850,Chest,Freezer,228,2.5
PCF150,PRIMA,850,Chest,Freezer,296,2.5
PCF200,PRIMA,850,Chest,Freezer,330,2.5
PDF106W,PRIMA,510,Upright,Refrigerator,249,1
PFF260,PRIMA,1685,Upright,Refrigerator/Freezer,421,2
PFF260,PRIMA,1685,Upright,Refrigerator/Freezer,421,2
PFF260S,PRIMA,1685,Upright,Refrigerator/Freezer,421,2
PFF286,PRIMA,1685,Upright,Refrigerator/Freezer,430,2
PFF286S,PRIMA,1685,Upright,Refrigerator/Freezer,430,2
PFR85,PRIMA,850,Upright,Freezer,248,2
PFR85N,PRIMA,850,Upright,Freezer,260,2
PFR85N,PRIMA,,Upright,Freezer,230,2.5
PFR85N,PRIMA,850,Upright,Freezer,300,1.5
PFR85NSS,PRIMA,,Upright,Freezer,230,2.5
PFR85NSS,PRIMA,850,Upright,Freezer,300,1.5
PWS-103R,PRIMA,825,Upright,Refrigerator,262,1.5
