Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 SRL458ELS,SAMSUNG ELECTRONICS,1700,Upright,Refrigerator/Freezer,330,4
SFP285EW,SAMSUNG ELECTRONICS,1650,Upright,Freezer,398,2.5
SFP286ELS,SAMSUNG ELECTRONICS,1625,Upright,Freezer,380,2.5
SFP318RS,SAMSUNG ELECTRONICS,1800,Upright,Freezer,305,3.5
SR215MW,SAMSUNG ELECTRONICS,1540,Upright,Refrigerator/Freezer,340,2.5
SR227MW,SAMSUNG ELECTRONICS,1445,Upright,Refrigerator/Freezer,280,3
SR236MW,SAMSUNG ELECTRONICS,1544,Upright,Refrigerator/Freezer,338,2.5
SR254MW,SAMSUNG ELECTRONICS,1537,Upright,Refrigerator/Freezer,269,3.5
SR255MLS,SAMSUNG ELECTRONICS,1537,Upright,Refrigerator/Freezer,269,3.5
SR293MW,SAMSUNG ELECTRONICS,1620,Upright,Refrigerator/Freezer,404,2
SR293MW,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,420,2
SR294IS,SAMSUNG ELECTRONICS,1620,Upright,Refrigerator/Freezer,404,2
SR294MIS,SAMSUNG ELECTRONICS,1620,Upright,Refrigerator/Freezer,404,2
SR294MIS,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,420,2
SR319MW,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,300,3.5
SR320MLS,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,300,3.5
SR326MW,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,445,2
SR327MIS,SAMSUNG ELECTRONICS,1630,Upright,Refrigerator/Freezer,445,2
SR340MW,SAMSUNG ELECTRONICS,1710,Upright,Refrigerator/Freezer,317,3.5
SR341MLS,SAMSUNG ELECTRONICS,1710,Upright,Refrigerator/Freezer,317,3.5
SR364MW,SAMSUNG ELECTRONICS,1685,Upright,Refrigerator/Freezer,450,2.5
SR365MIS,SAMSUNG ELECTRONICS,1685,Upright,Refrigerator/Freezer,450,2.5
SR365TLS,SAMSUNG ELECTRONICS,1685,Upright,Refrigerator/Freezer,450,2.5
SR365TSS,SAMSUNG ELECTRONICS,1685,Upright,Refrigerator/Freezer,450,2.5
SR371IS,SAMSUNG ELECTRONICS,1685,Upright,Refrigerator/Freezer,452,2.5
SR388MW,SAMSUNG ELECTRONICS,1770,Upright,Refrigerator/Freezer,460,2.5
SR390MIS,SAMSUNG ELECTRONICS,1770,Upright,Refrigerator/Freezer,460,2.5
SR390TLS,SAMSUNG ELECTRONICS,1770,Upright,Refrigerator/Freezer,460,2.5
SR390TSS,SAMSUNG ELECTRONICS,1770,Upright,Refrigerator/Freezer,460,2.5
SR392MW,SAMSUNG ELECTRONICS,1714,Upright,Refrigerator/Freezer,335,3.5
SR392MWR ,SAMSUNG ELECTRONICS,1714,Upright,Refrigerator/Freezer,335,3.5
SR393MLS,SAMSUNG ELECTRONICS,1714,Upright,Refrigerator/Freezer,335,3.5
SR393MLSR,SAMSUNG ELECTRONICS,1714,Upright,Refrigerator/Freezer,335,3.5
SR396IS,SAMSUNG ELECTRONICS,1770,Upright,Refrigerator/Freezer,472,2
SR413MSP,SAMSUNG ELECTRONICS,1785,Upright,Refrigerator/Freezer,350,3.5
SR414MW,SAMSUNG ELECTRONICS,1785,Upright,Refrigerator/Freezer,350,3.5
