Model No,Brand,Control,Prog Name,Type,New CEC,New Star
RSE8DPAS,SAMSUNG,,Side by Side,Refrigerator/Freezer,752,1.5
RSE8JPAS,SAMSUNG,,Side by Side,Refrigerator/Freezer,794,1
RSE8KPAS,SAMSUNG,,Side by Side,Refrigerator/Freezer,863,1
RSE8KPUS,SAMSUNG,,Side by Side,Refrigerator/Freezer,863,1
SR-21NMES,SAMSUNG,,Upright,Refrigerator/Freezer,452,0
SR-24NMES,SAMSUNG,,Upright,Refrigerator/Freezer,368,2
SR-24NMES,SAMSUNG,,Upright,Refrigerator/Freezer,508,0
SR-29NXB,SAMSUNG,,Upright,Refrigerator/Freezer,484,0
SR-33NXB,SAMSUNG,,Upright,Refrigerator/Freezer,471,0
SR-37RMC,SAMSUNG,,,,520,0
SR-39NXA,SAMSUNG,,Upright,Refrigerator/Freezer,670,0
SR-43NXB,SAMSUNG,,Upright,Refrigerator/Freezer,687,0
SR-52NXA,SAMSUNG,,Upright,Refrigerator/Freezer,658,0
SR-57NXA,SAMSUNG,,Upright,Refrigerator/Freezer,697,0
SR-L628EV,SAMSUNG,,Upright,Refrigerator/Freezer,784,0
SR-S20DTC,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SR-S20DTD,SAMSUNG,,Side by Side,Refrigerator/Freezer,721,0
SR-S20NTC,SAMSUNG,,Side by Side,Refrigerator/Freezer,684,0
SR-S73DTA,SAMSUNG,,Side by Side,Refrigerator/Freezer,1127,0
SR-V52,SAMSUNG,,Upright,Refrigerator/Freezer,658,0
SR210NME,SAMSUNG,,Upright,Refrigerator/Freezer,349,2
SR211NTS,SAMSUNG,,Upright,Refrigerator/Freezer,349,2
SR21NMA,SAMSUNG,,Upright,Refrigerator/Freezer,452,0
SR21NMB,SAMSUNG,,Upright,Refrigerator/Freezer,452,0
SR21NME,SAMSUNG,,Upright,Refrigerator/Freezer,452,0
SR228NME,SAMSUNG,,Upright,Refrigerator/Freezer,368,2
SR229NTS,SAMSUNG,,Upright,Refrigerator/Freezer,368,2
SR24NMB,SAMSUNG,,Upright,Refrigerator/Freezer,508,0
SR24NME,SAMSUNG,,Upright,Refrigerator/Freezer,508,0
SR281NPT,SAMSUNG,,Upright,Refrigerator/Freezer,414,0
SR301NW,SAMSUNG,,Upright,Refrigerator/Freezer,413,0
SR30RMB,SAMSUNG,,Upright,Refrigerator/Freezer,515,0
SR331NPT,SAMSUNG,,Upright,Refrigerator/Freezer,438,0
SR335WB1,SAMSUNG,,Upright,Refrigerator/Freezer,515,0
SR351ME,SAMSUNG,,Upright,Refrigerator/Freezer,536,0
SR367NW,SAMSUNG,,Upright,Refrigerator/Freezer,448,2.5
SR368NTS,SAMSUNG,,Upright,Refrigerator/Freezer,448,2.5
SR385NTS,SAMSUNG,,Upright,Refrigerator/Freezer,687,0
SR385NW,SAMSUNG,,Upright,Refrigerator/Freezer,421,2.5
SR386NTS,SAMSUNG,,Upright,Refrigerator/Freezer,421,2.5
SR389NME,SAMSUNG,,Upright,Refrigerator/Freezer,520,0
SR394NW,SAMSUNG,,Upright,Refrigerator/Freezer,472,2
SR395NTS,SAMSUNG,,Upright,Refrigerator/Freezer,472,2
SR402NME,SAMSUNG,,Upright,Refrigerator/Freezer,604,0
SR40RMB,SAMSUNG,,Upright,Refrigerator/Freezer,647,0
SR40WBI,SAMSUNG,,Upright,Refrigerator/Freezer,647,0
SR44RMB,SAMSUNG,,,,646,0
SR457NTS,SAMSUNG,1740,Upright,Refrigerator/Freezer,655,0
SR518DW,SAMSUNG,,Upright,Refrigerator/Freezer,526,2.5
SR519DP,SAMSUNG,,Upright,Refrigerator/Freezer,526,2.5
SR73FTA,SAMSUNG,,Side by Side,Refrigerator/Freezer,1127,0
SR74NTA,SAMSUNG,,,,1010,0
SRG-148,SAMSUNG,,Upright,Refrigerator,337,0
SRG-V57,SAMSUNG,,Upright,Refrigerator/Freezer,697,0
SRG059,SAMSUNG,,Upright,Refrigerator,321,0
SRG119,SAMSUNG,,Upright,Refrigerator,335,0
SRG149PT,SAMSUNG,,Upright,Refrigerator,337,0
SRL626EV,SAMSUNG,,Upright,Refrigerator/Freezer,784,0
SRL626EV,SAMSUNG,,Upright,Refrigerator/Freezer,784,0
SRL628EV,SAMSUNG,,Upright,Refrigerator/Freezer,784,0
SRS22DTD,SAMSUNG,,Side by Side,Refrigerator/Freezer,634,0
SRS580DTKG,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SRS580DTKGS,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SRS580DW,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SRS581DTKA,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SRS581DW,SAMSUNG,,Side by Side,Refrigerator/Freezer,675,1.5
SRS582DHP,SAMSUNG,,Side by Side,Refrigerator/Freezer,786,1
SRS582DTKGM,SAMSUNG,,Side by Side,Refrigerator/Freezer,720,0
SRS594NW,SAMSUNG,,Side by Side,Refrigerator/Freezer,646,2
SRS597NP,SAMSUNG,,Side by Side,Refrigerator/Freezer,682,1.5
SRS598NSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,682,1.5
SRS616DSSB,SAMSUNG,,Side by Side,Refrigerator/Freezer,634,0
SRS620DW,SAMSUNG,,Side by Side,Refrigerator/Freezer,687,2
SRS621DP,SAMSUNG,,Side by Side,Refrigerator/Freezer,687,2
SRS622DSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,687,2
SRS630NW,SAMSUNG,,Side by Side,Refrigerator/Freezer,659,2
SRS631NP,SAMSUNG,,Side by Side,Refrigerator/Freezer,659,2
SRS632NSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,659,2
SRS700DSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,698,2
SRS752QDUS,SAMSUNG,,Side by Side,Refrigerator/Freezer,866,1.5
SRS757DW,SAMSUNG,,Side by Side,Refrigerator/Freezer,727,2
SRS758DP,SAMSUNG,,Side by Side,Refrigerator/Freezer,727,2
SRS767DGB,SAMSUNG,,Side by Side,Refrigerator/Freezer,731,2
SRS768DSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,731,2
SRS800DHAL,SAMSUNG,,Side by Side,Refrigerator/Freezer,948,0
SRS800DHSS,SAMSUNG,,Side by Side,Refrigerator/Freezer,874,1.5
TS48DLUS,SAMSUNG,,Side by Side,Refrigerator/Freezer,859,1.5
