Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 ,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-21L,SHARP,1350,Upright,Refrigerator/Freezer,552,0
SJ-21L-GY,SHARP,1350,Upright,Refrigerator/Freezer,552,0
SJ-21L-WH,SHARP,1350,Upright,Refrigerator/Freezer,552,0
SJ-244V-WH,SHARP,1491,Upright,Refrigerator/Freezer,335,2.5
SJ-25J,SHARP,1510,Upright,Refrigerator/Freezer,580,0
SJ-25J-GY,SHARP,1510,Upright,Refrigerator/Freezer,580,0
SJ-25J-WH,SHARP,1510,Upright,Refrigerator/Freezer,580,0
SJ-25L,SHARP,1510,Upright,Refrigerator/Freezer,570,0
SJ-25L-GY,SHARP,1510,Upright,Refrigerator/Freezer,570,0
SJ-25L-WH,SHARP,1510,Upright,Refrigerator/Freezer,570,0
SJ-25P,SHARP,1510,Upright,Refrigerator/Freezer,521,0
SJ-25P-GY,SHARP,1510,Upright,Refrigerator/Freezer,521,0
SJ-25P-WH,SHARP,1510,Upright,Refrigerator/Freezer,521,0
SJ-308V-SL,SHARP,1580,Upright,Refrigerator/Freezer,400,2.5
SJ-308V-WH,SHARP,1580,Upright,Refrigerator/Freezer,400,2.5
SJ-308V-WH,SHARP,1580,Upright,Refrigerator/Freezer,400,2.5
SJ-339V-SL,SHARP,1700,Upright,Refrigerator/Freezer,425,2.5
SJ-339V-WH,SHARP,1700,Upright,Refrigerator/Freezer,425,2.5
SJ-43L,SHARP,1700,Upright,Refrigerator/Freezer,619,0
SJ-43L-A2S,SHARP,1700,Upright,Refrigerator/Freezer,619,0
SJ-43L-A2W,SHARP,1700,Upright,Refrigerator/Freezer,619,0
SJ-47L,SHARP,1820,Upright,Refrigerator/Freezer,642,0
SJ-47L-A2S,SHARP,1820,Upright,Refrigerator/Freezer,642,0
SJ-47L-A2W,SHARP,1820,Upright,Refrigerator/Freezer,642,0
SJ-48H,SHARP,1620,Upright,Refrigerator/Freezer,832,0
SJ-48H-GY,SHARP,1620,Upright,Refrigerator/Freezer,832,0
SJ-48H-WH,SHARP,1620,Upright,Refrigerator/Freezer,832,0
SJ-51H,SHARP,1700,Upright,Refrigerator/Freezer,870,0
SJ-51H-GY,SHARP,1700,Upright,Refrigerator/Freezer,870,0
SJ-51H-WH,SHARP,1700,Upright,Refrigerator/Freezer,870,0
SJ-520M-SL,SHARP,1620,Upright,Refrigerator/Freezer,745,0
SJ-520M-WH,SHARP,1620,Upright,Refrigerator/Freezer,745,0
SJ-55H,SHARP,1820,Upright,Refrigerator/Freezer,908,0
SJ-55H-GY,SHARP,1820,Upright,Refrigerator/Freezer,908,0
SJ-55H-WH,SHARP,1820,Upright,Refrigerator/Freezer,908,0
SJ-560M-SL,SHARP,1720,Upright,Refrigerator/Freezer,795,0
SJ-560M-WH,SHARP,1720,Upright,Refrigerator/Freezer,795,0
SJ-58L,SHARP,1620,Upright,Refrigerator/Freezer,803,0
SJ-58L-A2S,SHARP,1620,Upright,Refrigerator/Freezer,803,0
SJ-58L-A2W,SHARP,1620,Upright,Refrigerator/Freezer,803,0
SJ-600M-SL,SHARP,1820,Upright,Refrigerator/Freezer,835,0
SJ-600M-WH,SHARP,1820,Upright,Refrigerator/Freezer,835,0
SJ-63L,SHARP,1720,Upright,Refrigerator/Freezer,841,0
SJ-63L-A2S,SHARP,1720,Upright,Refrigerator/Freezer,841,0
SJ-63L-A2W,SHARP,1720,Upright,Refrigerator/Freezer,841,0
SJ-68L,SHARP,1820,Upright,Refrigerator/Freezer,877,0
SJ-68L-A2S,SHARP,1820,Upright,Refrigerator/Freezer,877,0
SJ-68L-A2W,SHARP,1820,Upright,Refrigerator/Freezer,877,0
SJ-F602SP-BK,SHARP,1720,Upright,Refrigerator/Freezer,723,1.5
SJ-F602SP-SL,SHARP,1720,Upright,Refrigerator/Freezer,723,1.5
SJ-F60P*-**,SHARP,1720,Side by Side,Refrigerator/Freezer,765,1.5
SJ-F60PC-**,SHARP,1720,Side by Side,Refrigerator/Freezer,765,1.5
SJ-F60PC-SL,SHARP,1720,Upright,Refrigerator/Freezer,774,1.5
SJ-F60PC-WH,SHARP,1720,Upright,Refrigerator/Freezer,774,1.5
SJ-F60PS-**,SHARP,1720,Side by Side,Refrigerator/Freezer,765,1.5
SJ-F60PS-SL,SHARP,1720,Upright,Refrigerator/Freezer,774,1.5
SJ-F60PV-SL,SHARP,1720,Upright,Refrigerator/Freezer,774,1.5
SJ-F624ST-SL,SHARP,1720,Upright,Refrigerator/Freezer,610,2.5
SJ-F653SP-BK,SHARP,1830,Upright,Refrigerator/Freezer,754,1.5
SJ-F653SP-SL,SHARP,1830,Upright,Refrigerator/Freezer,754,1.5
SJ-F65P*-**,SHARP,1830,Side by Side,Refrigerator/Freezer,805,1.5
SJ-F65PC-SL,SHARP,1830,Side by Side,Refrigerator/Freezer,805,1.5
SJ-F65PC-SL,SHARP,1830,Upright,Refrigerator/Freezer,807,1.5
SJ-F65PC-WH,SHARP,1830,Upright,Refrigerator/Freezer,807,1.5
SJ-F65PS-SL,SHARP,1830,Upright,Refrigerator/Freezer,807,1.5
SJ-F65PS-WH,SHARP,1830,Side by Side,Refrigerator/Freezer,805,1.5
SJ-F65PV-SL,SHARP,1830,Upright,Refrigerator/Freezer,807,1.5
SJ-F676ST-SL,SHARP,1830,Upright,Refrigerator/Freezer,630,2.5
SJ-FB624V-SL,SHARP,1720,Upright,Refrigerator/Freezer,600,2.5
SJ-FB624V-WH,SHARP,1720,Upright,Refrigerator/Freezer,600,2.5
SJ-FJ676V-BK,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-FJ676V-BK,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-FJ676V-WH,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-FP624V-BK,SHARP,1720,Upright,Refrigerator/Freezer,600,2.5
SJ-FP624V-SL,SHARP,1720,Upright,Refrigerator/Freezer,600,2.5
SJ-FP676V-SL,SHARP,1830,Upright,Refrigerator/Freezer,630,2.5
SJ-FS676V-BK,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-FS676V-SL,SHARP,1830,Upright,Refrigerator/Freezer,635,2.5
SJ-GC400V-BK,SHARP,1870,Upright,Refrigerator/Freezer,453,2.5
SJ-GC400V-SL,SHARP,1870,Upright,Refrigerator/Freezer,453,2.5
SJ-GC584R-BK,SHARP,1750,Upright,Refrigerator/Freezer,472,3
SJ-GC584R-BK,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-GC584R-SL,SHARP,1750,Upright,Refrigerator/Freezer,472,3
SJ-GC584R-SL,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-GC584V-BK,SHARP,1750,Upright,Refrigerator/Freezer,490,3
SJ-GC584V-SL,SHARP,1750,Upright,Refrigerator/Freezer,490,3
SJ-GJ584V-BK,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-GJ584V-BK,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-GJ584V-WH,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-P520M,SHARP,1620,Upright,Refrigerator/Freezer,745,0
SJ-P520M-SL,SHARP,1620,Upright,Refrigerator/Freezer,745,0
SJ-P520M-WH,SHARP,1620,Upright,Refrigerator/Freezer,745,0
SJ-P560M,SHARP,1720,Upright,Refrigerator/Freezer,795,0
SJ-P560M-SL,SHARP,1720,Upright,Refrigerator/Freezer,795,0
SJ-P560M-WH,SHARP,1720,Upright,Refrigerator/Freezer,795,0
SJ-P600M,SHARP,1820,Upright,Refrigerator/Freezer,835,0
SJ-P600M-SL,SHARP,1820,Upright,Refrigerator/Freezer,835,0
SJ-P600M-WH,SHARP,1820,Upright,Refrigerator/Freezer,835,0
SJ-SC400V-BK,SHARP,1870,Upright,Refrigerator/Freezer,453,2.5
SJ-SC400V-SL,SHARP,1870,Upright,Refrigerator/Freezer,453,2.5
SJ-SC400V-WH,SHARP,1870,Upright,Refrigerator/Freezer,453,2.5
SJ-SC584R-SL,SHARP,1750,Upright,Refrigerator/Freezer,472,3
SJ-SC584R-SL,SHARP,1750,Upright,Refrigerator/Freezer,480,3
SJ-SC584R-WH,SHARP,1750,Upright,Refrigerator/Freezer,472,3
SJ-SC584R-WH,SHARP,1750,Upright,Refrigerator/Freezer,480,3
