Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BCD-193WA,SIGNATURE,1462,Upright,Refrigerator/Freezer,403,1.5
BCD-193WB,SIGNATURE,1462,Upright,Refrigerator/Freezer,403,1.5
BCD-193WC  HUALING,SIGNATURE,1462,Upright,Refrigerator/Freezer,403,1.5
BCD-193WQ,SIGNATURE,1462,Upright,Refrigerator/Freezer,403,1.5
HUALING  WD-200,SIGNATURE,850,Chest,Freezer,330,2.5
MEILING BD-183,SIGNATURE,1430,Upright,Freezer,345,2.5
MF-208,SIGNATURE,1430,Upright,Freezer,345,2.5
SBR-120,SIGNATURE,837,Upright,Refrigerator,383,0
SBR-120,SIGNATURE,837,Upright,Refrigerator,270,1
SIG-200F,SIGNATURE,850,Chest,Freezer,330,2.5
SIG-210V,SIGNATURE,1430,Upright,Freezer,345,2.5
SIG-253W,SIGNATURE,1462,Upright,Refrigerator/Freezer,403,1.5
SIG-300F,SIGNATURE,850,Chest,Freezer,420,2
SIG-350W,SIGNATURE,1692,Upright,Refrigerator/Freezer,496,1.5
SIG489,SIGNATURE,1741,Upright,Refrigerator/Freezer,540,2
SIG489T,SIGNATURE,1741,Upright,Refrigerator/Freezer,540,2
SRD-220,SIGNATURE,1395,Upright,Refrigerator/Freezer,543,0
SRD-300,SIGNATURE,1308,Upright,Refrigerator/Freezer,565,0
SRD-330,SIGNATURE,1688,Upright,Refrigerator/Freezer,478,0
SRD-330,SIGNATURE,1688,Upright,Refrigerator/Freezer,420,2
