Model No,Brand,Control,Prog Name,Type,New CEC,New Star
C220,SIMPSON,,Upright,Refrigerator/Freezer,526,0
C300,SIMPSON,,Upright,Refrigerator/Freezer,741,0
CS250,SIMPSON,,Upright,Refrigerator,491,0
CS330,SIMPSON,,Upright,Refrigerator,634,0
CS390,SIMPSON,,Upright,Refrigerator,504,0
F210,SIMPSON,,Upright,Freezer,504,0
FN300,SIMPSON,,Upright,Freezer,867,0
FN360,SIMPSON,,Upright,Freezer,908,0
H150,SIMPSON,,Chest,Freezer,387,0
H150,SIMPSON,,Chest,Freezer,372,0
H210,SIMPSON,,Chest,Freezer,436,0
H210,SIMPSON,,Chest,Freezer,413,0
H320,SIMPSON,,Chest,Freezer,503,0
H320,SIMPSON,,Chest,Freezer,472,0
H500,SIMPSON,,Chest,Freezer,750,0
H500,SIMPSON,,Chest,Freezer,590,0
H700,SIMPSON,,Chest,Freezer,840,0
M140,SIMPSON,,Upright,Refrigerator,348,0
N210,SIMPSON,,Upright,Refrigerator/Freezer,593,0
N300,SIMPSON,,Upright,Refrigerator/Freezer,595,0
N360,SIMPSON,,Upright,Refrigerator/Freezer,519,0
N410,SIMPSON,,Upright,Refrigerator/Freezer,576,0
NB380,SIMPSON,,Upright,Refrigerator/Freezer,811,0
NB400,SIMPSON,,Upright,Refrigerator/Freezer,844,0
P170,SIMPSON,,Upright,Refrigerator/Freezer,383,0
SBM3800M,SIMPSON,,Upright,Refrigerator/Freezer,527,1.5
SBM3800W,SIMPSON,,Upright,Refrigerator/Freezer,527,1.5
SBM4300W,SIMPSON,,Upright,Refrigerator/Freezer,565,1.5
SBM5100W,SIMPSON,,Upright,Refrigerator/Freezer,589,2
SR235A,SIMPSON,1510,Upright,Refrigerator/Freezer,640,0
SR255A,SIMPSON,1600,Upright,Refrigerator/Freezer,660,0
SR300A,SIMPSON,1580,Upright,Refrigerator/Freezer,640,0
SR340A,SIMPSON,1700,Upright,Refrigerator/Freezer,685,0
SR390,SIMPSON,,Upright,Refrigerator/Freezer,463,2
SR400A,SIMPSON,1725,Upright,Refrigerator/Freezer,755,0
SR440A,SIMPSON,1725,Upright,Refrigerator/Freezer,795,0
SS570A,SIMPSON,1750,Side by Side,Refrigerator/Freezer,980,0
SSM6100M,SIMPSON,,Side by Side,Refrigerator/Freezer,675,2
SSM6100W,SIMPSON,,Side by Side,Refrigerator/Freezer,675,2
STM3000M,SIMPSON,,Upright,Refrigerator/Freezer,424,2
STM3000W,SIMPSON,,Upright,Refrigerator/Freezer,424,2
STM3300W,SIMPSON,,Upright,Refrigerator/Freezer,437,2
STM3600W,SIMPSON,,Upright,Refrigerator/Freezer,448,2
STM3900MA,SIMPSON,,Upright,Refrigerator/Freezer,463,2
STM3900W,SIMPSON,,Upright,Refrigerator/Freezer,463,2
STM4400W,SIMPSON,,Upright,Refrigerator/Freezer,486,2
STM5200W,SIMPSON,,Upright,Refrigerator/Freezer,508,2.5
