Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SIF127,Singer,840,Upright,Refrigerator,292,1
SIF130,SINGER,836,Upright,Refrigerator,235,2
SIHD-496FW(N),SINGER,1712,Upright,Refrigerator/Freezer,456,2.5
SIR215W,Singer,1390,Upright,Refrigerator/Freezer,427,1.5
SIR215W,Singer,1390,Upright,Refrigerator/Freezer,427,1.5
SIR215WN,Singer,1390,Upright,Refrigerator/Freezer,420,1.5
SIR233W,Singer,1485,Upright,Refrigerator/Freezer,438,1.5
SIR233W,Singer,1485,Upright,Refrigerator/Freezer,438,1.5
SIR258WN,Singer,1600,Upright,Refrigerator/Freezer,456,1.5
SIR410W,Singer,1712,Upright,Refrigerator/Freezer,456,2.5
SIR410W,SINGER,1712,Upright,Refrigerator/Freezer,456,2.5
SIVF1465 BLACK,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 BLACK HAIRLINE,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 HAIRLINE,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 HIGH GLOSS,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 INOX,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 SILVER,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 STAINLESS STEEL,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
SIVF1465 WHITE,SINGER,1818,Upright,Refrigerator/Freezer,453,2.5
