Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FA550,SMEG,1750,Side by Side,Refrigerator/Freezer,833,1
FA720X,SMEG,1884,Side by Side,Refrigerator/Freezer,871,1.5
FAB10H*,Smeg,958,Upright,Refrigerator,245,1.5
FAB10H*,Smeg,955,Upright,Refrigerator,203,2.5
FAB28,SMEG,1460,Upright,Refrigerator/Freezer,312,3
FAB28,SMEG,1460,Upright,Refrigerator/Freezer,327,0
FAB28,SMEG,1460,Upright,Refrigerator/Freezer,282,2
FAB28*1,Smeg,1510,Upright,Refrigerator/Freezer,246,3.5
FAB28A,SMEG,,Upright,Refrigerator/Freezer,481,0
FAB28A*1,Smeg,,Upright,Refrigerator,281,2
FAB30,SMEG,1670,Upright,Refrigerator/Freezer,472,0
FAB32,SMEG,1790,Upright,Refrigerator/Freezer,406,2.5
FAB32,SMEG,1780,Upright,Refrigerator/Freezer,386,0
FAB32,SMEG,1780,Upright,Refrigerator/Freezer,406,2.5
FAB32**N1,Smeg,1928,Upright,Refrigerator/Freezer,323,3.5
FAB32*7,Smeg,,Upright,Refrigerator/Freezer,406,2.5
FAB40,SMEG,1860,Upright,Refrigerator/Freezer,391,3
FAB50***-1,Smeg,1860,Upright,Refrigerator/Freezer,507,2.5
FAB50x,Smeg,1870,Upright,Refrigerator/Freezer,477,2.5
FBR601S,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
FBR601S,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
FBS601S,SMEG,1790,Side by Side,Refrigerator/Freezer,650,2
FBS601S,SMEG,1790,Side by Side,Refrigerator/Freezer,650,2
FBW601S,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
FBW601S,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
FQ60XIWA,Smeg,1820,Upright,Refrigerator/Freezer,650,2
FQ60XPA,Smeg,1820,Upright,Refrigerator/Freezer,584,2
SF-640S,SMEG,1773,Upright,Refrigerator/Freezer,670,2.5
SF-640S-1,SMEG,1773,Upright,Refrigerator/Freezer,620,2.5
SR360X,SMEG,1861,Upright,Refrigerator/Freezer,717,0
SR400X,SMEG,2001,Upright,Refrigerator/Freezer,819,0
SR580X,SMEG,1770,Side by Side,Refrigerator/Freezer,610,2.5
SR590X,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR600*#*,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
SR600P,SMEG,1790,Side by Side,Refrigerator/Freezer,650,2
SR600PRW,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
SR600X,SMEG,1770,Side by Side,Refrigerator/Freezer,610,2.5
SR600X,SMEG,1770,Side by Side,Refrigerator/Freezer,610,2.5
SR610NE,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR610X,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR610X,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR620X,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR620X,SMEG,1770,Side by Side,Refrigerator/Freezer,760,1.5
SR640XA,SMEG,1790,Side by Side,Refrigerator/Freezer,630,2
SR650XA,SMEG,1790,Side by Side,Refrigerator/Freezer,760,1.5
SRA20X,SMEG,1750,Side by Side,Refrigerator/Freezer,833,1
