Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BCD-280WV,STIRLING,,Upright,Refrigerator/Freezer,391,2.5
HD-363FW,STIRLING,1520,Upright,Refrigerator/Freezer,464,1.5
SCF155,STIRLING,835,Chest,Freezer,277,2.5
STP-247 ,STIRLING,1390,Upright,Refrigerator/Freezer,420,1.5
STR-190SS,Stirling,,Upright,Refrigerator/Freezer,390,2
STR-190WH,Stirling,,Upright,Refrigerator/Freezer,390,2
STR221,STIRLING,1433,Upright,Refrigerator/Freezer,392,2
TCF-14Q,STIRLING,835,Chest,Freezer,270,2.5
TCF-14QA,STIRLING,,Chest,Freezer,242,3
TF-10Q,stirling,842,Upright,Freezer,202,3
TF-10QA,STIRLING,842,Upright,Freezer,179,3.5
TR-11A,STIRLING,,Upright,Refrigerator,245,1.5
TR-15Q,Stirling,,Upright,Cooled appliance,250,1.5
TR-15Q,Stirling,,Upright,Refrigerator,210,2
TR-15Q,stirling,842,Upright,Refrigerator,200,2.5
WS-180F,STIRLING,1390,Upright,Freezer,334,2.5
