Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ICB648PRO,Sub-Zero,,Side by Side,Refrigerator/Freezer,964,1.5
ICB648PROG,Sub-Zero,,Side by Side,Refrigerator/Freezer,964,1.5
ICB700TCI,Sub-Zero,,Upright,Refrigerator/Freezer,738,1.5
ICB736TCI,Sub-Zero,,Upright,Refrigerator/Freezer,738,1.5
ICBBI-30U/O,Sub-Zero,2134,Upright,Refrigerator/Freezer,433,3
ICBBI-30U/S,Sub-Zero,2134,Upright,Refrigerator/Freezer,433,3
ICBBI-30U/S/CH,Sub-Zero,2134,Upright,Refrigerator/Freezer,433,3
ICBBI-30U/S/PH,Sub-Zero,2134,Upright,Refrigerator/Freezer,433,3
ICBBI-30U/S/TH,Sub-Zero,2134,Upright,Refrigerator/Freezer,433,3
ICBBI-36F/S/CH,Sub-Zero,2134,Upright,Freezer,659,2.5
ICBBI-36F/S/PH,Sub-Zero,2134,Upright,Freezer,659,2.5
ICBBI-36F/S/TH,Sub-Zero,2134,Upright,Freezer,659,2.5
ICBBI-36S,Sub-Zero,2135,Side by Side,Refrigerator/Freezer,581,2.5
ICBBI-36U/O,Sub-Zero,2134,Upright,Refrigerator/Freezer,464,3.5
ICBBI-36U/S/CH,Sub-Zero,2134,Upright,Refrigerator/Freezer,464,3.5
ICBBI-36U/S/PH,Sub-Zero,2134,Upright,Refrigerator/Freezer,464,3.5
ICBBI-36U/S/TH,Sub-Zero,2134,Upright,Refrigerator/Freezer,464,3.5
ICBBI-42S/0,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,596,2.5
ICBBI-42S/CH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,596,2.5
ICBBI-42S/PH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,596,2.5
ICBBI-42S/TH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,596,2.5
ICBBI-42SD/S/CH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,575,3
ICBBI-42SD/S/O,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,575,3
ICBBI-42SD/S/TH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,575,3
ICBBI-48S/CH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,641,3
ICBBI-48S/O,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,641,3
ICBBI-48S/PH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,641,3
ICBBI-48S/TH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,641,3
ICBBI-48SD/S/CH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,646,3
ICBBI-48SD/S/O,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,646,3
ICBBI-48SD/S/PH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,646,3
ICBBI-48SD/S/TH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,646,3
ICBBI-48SID***,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,646,3
ICBBI36F/O,Sub-Zero,2134,Upright,Freezer,659,2.5
ICBBI36R****,Sub-Zero,2134,Upright,Refrigerator,287,3
ICBBI42SD/S/PH,Sub-Zero,2134,Side by Side,Refrigerator/Freezer,575,3
ICBIC-24FI-**,Sub-Zero,2134,Upright,Freezer,437,2.5
ICBIC-24R-**,Sub-Zero,2134,Upright,Refrigerator,227,3
ICBIC-30FI-**,Sub-Zero,2134,Upright,Freezer,427,3
ICBIC-30RID-**,Sub-Zero,2134,Upright,Refrigerator,237,3
ICBID-30CI,Sub-Zero,876,Upright,Refrigerator/Freezer,273,2
ICBID-30RP,Sub-Zero,876,Upright,Refrigerator,155,3.5
ICBIT-30CIID-**,Sub-Zero,2134,Upright,Refrigerator/Freezer,424,2.5
ICBIT-30RID-**,Sub-Zero,2134,Upright,Refrigerator,262,2.5
ICBIT-36CIID-**,Sub-Zero,2134,Upright,Refrigerator/Freezer,475,2.5
ICBIW-30R,Sub-Zero,876,Upright,Refrigerator,155,3.5
