Model No,Brand,Control,Prog Name,Type,New CEC,New Star
2,TCL,845,Upright,Freezer,240,2
2,TCL,845,Upright,Refrigerator,250,1.5
TCF-150Q,TCL,835,Chest,Freezer,305,2
TF-10Q,TCL,845,Upright,Freezer,240,2
TR-069H,TCL,640,Upright,Refrigerator,268,1
TR-115H,TCL,850,Upright,Refrigerator,295,1
TR-115Q,TCL,845,Upright,Refrigerator,250,1.5
TR-239H,TCL,1430,Upright,Refrigerator,351,1
TRF300WQ,TCL,1510,Upright,Refrigerator/Freezer,440,2
TVF-082H,TCL,850,Upright,Freezer,300,1.5
TVF-183H,TCL,1430,Upright,Freezer,365,2
