Model No,Brand,Control,Prog Name,Type,New CEC,New Star
TAF237WMPAMFBE,TECO,1420,Upright,Refrigerator,194,3
TBF117BMDBWBBE,TECO,825,Upright,Refrigerator,262,1.5
TBF117RMDBWBBE,TECO,825,Upright,Refrigerator,262,1.5
TBF117SMDBWBBE,TECO,825,Upright,Refrigerator,262,1.5
TBF117SMDEWCBF,Teco,825,Upright,Refrigerator,230,2
TBF117WMDBWBBE,TECO,825,Upright,Refrigerator,262,1.5
TBF117WMDCMBB,TECO,,Upright,Refrigerator,250,1.5
TBF117WMDEWCBF,Teco,825,Upright,Refrigerator,230,2
TBF130BMDAWLBD,TECO,836,Upright,Refrigerator,235,2
TBF130RMDAWLBD,TECO,836,Upright,Refrigerator,235,2
TBF130SMDAWLBD,TECO,836,Upright,Refrigerator,235,2
TBF130WMDAWLBD,TECO,836,Upright,Refrigerator,235,2
TBF134SMDBWCBF,Teco,836,Upright,Refrigerator,207,2.5
TBF134WMDBWCBF,Teco,836,Upright,Refrigerator,207,2.5
TBF47BMBWBBE,TECO,485,Upright,Refrigerator,222,1.5
TBF47RMBWBBE,TECO,485,Upright,Refrigerator,222,1.5
TBF47SMBWBBE,TECO,485,Upright,Refrigerator,222,1.5
TBF47WMBWBBE,TECO,485,Upright,Refrigerator,222,1.5
TBF50WMCCBC,TECO,,Upright,Refrigerator,185,2
TBF75BMDAWIBE,TECO,705,Upright,Refrigerator,183,2.5
TBF75RMDAWIBE,TECO,705,Upright,Refrigerator,183,2.5
TBF75SMDAWIBE,TECO,705,Upright,Refrigerator,183,2.5
TBF75WMDAWIBE,TECO,705,Upright,Refrigerator,183,2.5
TBF84BMTAWFBD,TECO,850,Upright,Refrigerator/Freezer,299,1.5
TBF84RMTAWFBD,TECO,850,Upright,Refrigerator/Freezer,299,1.5
TBF84SMTAWCBE,TECO,850,Upright,Refrigerator/Freezer,299,1.5
TBF84WMTAWFBD,TECO,850,Upright,Refrigerator/Freezer,299,1.5
TCF145WMDWIBD,TECO,842,Chest,Freezer,296,2.5
TCF150WMBMFBD,TECO,850,Chest,Freezer,314,2
TCF150WMCDBC,TECO,,Chest,Freezer,305,2
TCF200WMBMFBD,TECO,850,Chest,Freezer,358,2
TCF200WMCDBC,TECO,,Chest,Freezer,340,2.5
TCF200WMDWIBD,TECO,842,Chest,Freezer,341,2.5
TCF300WMDWIBD,TECO,842,Chest,Freezer,410,2.5
TFD635SNAMDBE,Teco,1775,Upright,Refrigerator/Freezer,683,2
TFD635WNAMDBE,Teco,1775,Upright,Refrigerator/Freezer,683,2
TFF215SNTAMDBD,TECO,615,Upright,Refrigerator/Freezer,420,1.5
TFF215WNTAMDBD,TECO,615,Upright,Refrigerator/Freezer,420,1.5
TFF215WNTBMIBE,Teco,1375,Upright,Refrigerator/Freezer,390,2
TFF258SNTAMDBD,TECO,1600,Upright,Refrigerator/Freezer,457,1.5
TFF258WNTAMDBD,TECO,1600,Upright,Refrigerator/Freezer,457,1.5
TFF258WNTBMIBE,Teco,1585,Upright,Refrigerator/Freezer,416,2
TFF292SNTAMDBD,TECO,1519,Upright,Refrigerator/Freezer,394,2.5
TFF292WNTAMDBD,TECO,1519,Upright,Refrigerator/Freezer,394,2.5
TFF400WNTAMIBE,Teco,1712,Upright,Refrigerator/Freezer,464,2.5
TFF410SNTAMDBD,TECO,1712,Upright,Refrigerator/Freezer,467,2.5
TFF410WNTAMDBD,TECO,1712,Upright,Refrigerator/Freezer,467,2.5
TFF470SNTAMFBE,TECO,1745,Upright,Refrigerator/Freezer,496,2.5
TFF470WNTAMFBE,TECO,1745,Upright,Refrigerator/Freezer,496,2.5
TSXS580SNAMMBD,TECO,1760,Side by Side,Refrigerator/Freezer,723,1.5
TSXS580WNAMMBD,TECO,1760,Side by Side,Refrigerator/Freezer,723,1.5
TVF172WMPAMFBE,TECO,1420,Upright,Freezer,237,3.5
TVF411WNAMMBD,TECO,1550,Upright,Freezer,621,1.5
TVF81WMBCMBD,Teco,842,Upright,Freezer,265,2
TVF81WMCCBC,TECO,,Upright,Freezer,240,2
TVF92WMAMLBE,Teco,860,Upright,Freezer,209,3
