Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DD1-21,telmann,1430,Upright,Freezer,365,2
DL1-29,telmann,1430,Upright,Refrigerator,351,1
DL1-29,telmann,,Upright,Refrigerator,310,1.5
HD-253FW,telmann,1390,Upright,Refrigerator/Freezer,427,1.5
HD-496FW,telmann,1712,Upright,Refrigerator/Freezer,456,2.5
HS-111FN,telmann,850,Upright,Freezer,263,2
HS-195CN,telmann,850,Chest,Freezer,280,2.5
HS-241FN,telmann,1440,Upright,Freezer,362,2
HS-241FN,telmann,1440,Upright,Freezer,360,2
HS-319LN,telmann,1440,Upright,Refrigerator,330,1
HS-390CN,telmann,850,Chest,Freezer,400,2.5
KR-128,TELMANN,865,Upright,Refrigerator,292,1
KR-128,TELMANN,865,Upright,Refrigerator,292,1
KR-128SS,TELMANN,865,Upright,Refrigerator,292,1
KR-128SS,TELMANN,865,Upright,Refrigerator,292,1
KR-68,TELMANN,495,Upright,Refrigerator,288,1
RD-222FF,TELMANN,1433,Upright,Refrigerator/Freezer,392,2
TCF-10Q,TELMANN,,Chest,Freezer,275,2
TCS-14Q,telmann,835,Chest,Freezer,305,2
TCS-20Q,telmann,835,Chest,Freezer,340,2.5
TEL-100W,TELMANN,850,Chest,Freezer,228,2.5
TEL130BF,TELMANN,865,Upright,Refrigerator,308,1
TEL146F,TELMANN,850,Chest,Freezer,300,2.5
TEL148G,TELMANN,845,Chest,Freezer,272,2.5
TEL170R,TELMANN,,Upright,Refrigerator,308,1
TEL208F,TELMANN,850,Chest,Freezer,340,2.5
TEL208G,TELMANN,845,Chest,Freezer,316,2.5
TEL55BF,TELMANN,550,Upright,Refrigerator,235,1
TELBF-136w,TELMANN,790,Upright,Freezer,270,2
TELFF-293i,TELMANN,,Upright,Refrigerator/Freezer,376,2
TELFF-293w,TELMANN,,Upright,Refrigerator/Freezer,376,2
TF-22A,TELMANN,,Upright,Freezer,280,3
TL-30A,TELMANN,,Upright,Refrigerator,270,2
TM001CF,TELMANN,830,Chest,Freezer,249,2
TM001CF,TELMANN,830,Chest,Freezer,249,0
TM002BF,TELMANN,550,Upright,Freezer,265,2
TM002BF,TELMANN,550,Upright,Freezer,265,2
TM002SS,TELMANN,550,Upright,Freezer,265,2
TM002SS,TELMANN,550,Upright,Freezer,265,2
TM280SS,TELMANN,1520,Upright,Refrigerator/Freezer,421,2
TM280SS,TELMANN,1520,Upright,Refrigerator/Freezer,421,2
TM280WH,TELMANN,1520,Upright,Refrigerator/Freezer,421,2
TM280WH,TELMANN,1520,Upright,Refrigerator/Freezer,421,2
