Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GR-E125,TOSHIBA,1037,Upright,Refrigerator,234,1.5
GR-H32TA,TOSHIBA,1523,Upright,Refrigerator/Freezer,461,2
GR-H37TA,TOSHIBA,1740,Upright,Refrigerator/Freezer,480,2
GR-H41TA,TOSHIBA,1623,Upright,Refrigerator/Freezer,487,2
GR-H46TA,TOSHIBA,1773,Upright,Refrigerator/Freezer,484,2.5
GR-H55TA,TOSHIBA,1724,Upright,Refrigerator/Freezer,703,0
GR-H55TA2,TOSHIBA,1654,Upright,Refrigerator/Freezer,552,2.5
GR-H55TAA,TOSHIBA,1724,Upright,Refrigerator/Freezer,741,0
GR-H55TAA2,TOSHIBA,1654,Upright,Refrigerator/Freezer,557,2
GR-H66TA,TOSHIBA,1924,Upright,Refrigerator/Freezer,809,0
GR-H66TA2,TOSHIBA,1854,Upright,Refrigerator/Freezer,596,2
GR-H66TAA,TOSHIBA,1924,Upright,Refrigerator/Freezer,781,0
GR-M55AD,TOSHIBA,1654,Upright,Refrigerator/Freezer,552,2.5
GR-M66AD,TOSHIBA,1854,Upright,Refrigerator/Freezer,596,2
GR-N32TA,TOSHIBA,1571,Upright,Refrigerator/Freezer,540,0
GR-N37TA,TOSHIBA,,Upright,Refrigerator/Freezer,562,0
GR-N41TA,TOSHIBA,1600,Upright,Refrigerator/Freezer,621,0
GR-N46TA,TOSHIBA,1750,Upright,Refrigerator/Freezer,682,0
