Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DF1-15,TRIESTE,850,Upright,Refrigerator,320,1
ED-BF115L,TRIESTE,850,Upright,Refrigerator,295,1
ED-PF172L,TRIESTE,1420,Upright,Freezer,237,3.5
ED-PF180L,TRIESTE,1440,Upright,Freezer,362,2
ED-PR245L,TRIESTE,1440,Upright,Refrigerator,330,1
ED-PR273,TRIESTE,1420,Upright,Refrigerator,194,3
RD-28WR4HGE,TRIESTE,1650,Upright,Refrigerator/Freezer,403,2
RD-32WR4HC,TRIESTE,1665,Upright,Refrigerator/Freezer,585,0
TR-14DR4HAS,TRIESTE,865,Upright,Refrigerator,292,1
TR-14DR4HAS,TRIESTE,860,Upright,Refrigerator,357,0
TR-22WR4HC,TRIESTE,1395,Upright,Refrigerator/Freezer,358,2
TRD-22,TRIESTE,1390,Upright,Refrigerator/Freezer,420,1.5
TRD-22.1,TRIESTE,1375,Upright,Refrigerator/Freezer,390,2
TRD-220FW,TRIESTE,1275,Upright,Refrigerator/Freezer,420,1.5
TRD-225,TRIESTE,1503,Upright,Refrigerator/Freezer,413,1.5
TRD-253,TRIESTE,1390,Upright,Refrigerator/Freezer,427,1.5
TRD-32,TRIESTE,1665,Chest,Refrigerator/Freezer,422,2
TRD-32WR4HW,TRIESTE,1665,Chest,Refrigerator/Freezer,422,2
TRD-36,TRIESTE,1512,Upright,Refrigerator/Freezer,421,2
TRD-36WR4HC,TRIESTE,1512,Upright,Refrigerator/Freezer,712,0
TRD-DF1-15,TRIESTE,850,Upright,Refrigerator,320,1
TRD-MRF-195,TRIESTE,1531,Upright,Refrigerator/Freezer,402,1.5
TRD-MRF-225W,TRIESTE,1503,Upright,Refrigerator/Freezer,413,1.5
