Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BFR245,TURBO LINE,1430,Upright,Freezer,310,2
BFRC 415,TURBO LINE,720,Chest,Freezer,495,2.5
BFRC-10,TURBO LINE,835,Chest,Freezer,251,2.5
BFRC-15,TURBO LINE,835,Chest,Freezer,277,2.5
BFRC-20,TURBO LINE,835,Chest,Freezer,318,2.5
BFRC-300A,TURBO LINE,850,Chest,Freezer,368,2.5
BFRV130,TURBO LINE,1120,Upright,Freezer,249,3
BFRV175,TURBO LINE,1430,Upright,Freezer,365,2
BFRV183,TURBO LINE,1430,Upright,Freezer,365,2
BFRV208,TURBO LINE,1430,Upright,Freezer,345,2.5
BFRV245,TURBO LINE,1705,Upright,Freezer,369,2.5
BFRV90,TURBO LINE,850,Upright,Freezer,300,1.5
BFRV90,TURBO LINE,850,Upright,Freezer,300,1.5
BRF 193,TURBO LINE,1462,Upright,Refrigerator/Freezer,403,1.5
BRF 220,TURBO LINE,1275,Upright,Refrigerator/Freezer,420,1.5
BRF 253,TURBO LINE,1390,Upright,Refrigerator/Freezer,427,1.5
BRF 273,TURBO LINE,1390,Upright,Refrigerator/Freezer,438,1.5
BRF 306,TURBO LINE,1600,Upright,Refrigerator/Freezer,445,1.5
BRF 496,TURBO LINE,1712,Upright,Refrigerator/Freezer,456,2.5
BRF-115A,TURBO LINE,850,Upright,Refrigerator,295,1
BRF-117W,TURBO LINE,825,Upright,Refrigerator,262,1.5
BRF-291W,TURBO LINE,1500,Upright,Refrigerator/Freezer,392,2.5
BRF200,TURBO LINE,1350,Chest,Freezer,330,2.5
BRF245 A,TURBO LINE,1432,Upright,Refrigerator,250,2
BRF295U,TURBO LINE,1830,Upright,Refrigerator/Freezer,475,2
BRF335,TURBO LINE,1705,Upright,Refrigerator,391,1
BRF55,TURBO LINE,470,Upright,Refrigerator,249,1
