Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BD-155,TUSCANY,,Chest,Freezer,284,2.5
DF1-15,Tuscany,850,Upright,Refrigerator,295,1
T120BF,Tuscany,850,Upright,Refrigerator,295,1
T215LRF,Tuscany,1375,Upright,Refrigerator/Freezer,390,2
T320LRF,Tuscany,695,Upright,Refrigerator/Freezer,412,2.5
T85BF,Tuscany,850,Upright,Freezer,300,1.5
T85BF.2,Tuscany,850,Upright,Freezer,300,1.5
TBF-50W,TUSCANY,520,Upright,Refrigerator,197,1.5
TBF143WH,TUSCANY,865,Upright,Refrigerator,292,1
TBF66WH,TUSCANY,515,Upright,Refrigerator,288,1
TCF-300,TUSCANY,850,Chest,Freezer,400,2.5
TCF155,Tuscany,835,Chest,Freezer,277,2.5
TDF1-08,Tuscany,640,Upright,Refrigerator,235,1.5
TDL1-06,Tuscany,510,Upright,Refrigerator,220,1.5
TDL1-06,Tuscany,510,Upright,Refrigerator,249,1
TFC-300,Tuscany,850,Chest,Freezer,368,2.5
TFF-246,TUSCANY,1620,Upright,Refrigerator/Freezer,390,2
TFF300,TUSCANY,,Upright,Refrigerator/Freezer,487,1.5
