Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BSKF 352,VESTFROST,1860,Upright,Refrigerator/Freezer,396,0
BSKF 352,VESTFROST,1860,Upright,Refrigerator/Freezer,396,2.5
BSKS 360,VESTFROST,1860,Upright,Refrigerator,329,1.5
CW391F,Vestfrost,,Upright,Freezer,383,2
CW395L,Vestfrost,,Upright,Refrigerator,248,2.5
CW540NF,Vestfrost,1818,Upright,Refrigerator/Freezer,469,2.5
FZ307M,VESTFROST,2010,Upright,Refrigerator/Freezer,387,1
SE255,VESTFROST,850,Chest,Freezer,237,4
SE325,VESTFROST,850,Chest,Freezer,302,0
SE325,VESTFROST,850,Chest,Freezer,302,3.5
SW321,Vestfrost,842,Chest,Freezer,256,4.5
