Model No,Brand,Control,Prog Name,Type,New CEC,New Star
1,WANBAO,450,Upright,Refrigerator,265,1
WB-120D,WANBAO,837,Upright,Refrigerator,383,0
WB-120D,WANBAO,840,Upright,Refrigerator,270,1
WB-130,WANBAO,810,Upright,Refrigerator,290,1
WB-70D,WANBAO,636,Upright,Refrigerator,241,0
WB-70D,WANBAO,625,Upright,Refrigerator,286,1
WBR-120,WANBAO,,Upright,Refrigerator,344,1
WBR-120L,WANBAO,,Upright,Refrigerator,344,1
WD-200FW,WANBAO,1455,Upright,Refrigerator/Freezer,334,2.5
WD-282FW,WANBAO,1500,Upright,Refrigerator/Freezer,392,2.5
WS-103R,WANBAO,825,Upright,Refrigerator,262,1.5
WS-128R,WANBAO,836,Upright,Refrigerator,235,2
WS-180F,WANBAO,1390,Upright,Freezer,334,2.5
WS-240L,WANBAO,1390,Upright,Refrigerator,315,1.5
WS-47R,WANBAO,485,Upright,Refrigerator,222,1.5
WS-65R,WANBAO,625,Upright,Refrigerator,207,2
WS-66R,WANBAO,701,Upright,Refrigerator,234,1.5
WS-93R,WANBAO,820,Upright,Refrigerator,249,1.5
