Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BJ384,WESTINGHOUSE,,Upright,Refrigerator/Freezer,527,1.5
BJ385,WESTINGHOUSE,,Upright,Refrigerator/Freezer,811,0
BJ385,WESTINGHOUSE,,Upright,Refrigerator/Freezer,910,0
BJ423,WESTINGHOUSE,,Upright,Refrigerator/Freezer,750,0
BJ423,WESTINGHOUSE,,Upright,Refrigerator/Freezer,750,0
BJ424,WESTINGHOUSE,,Upright,Refrigerator/Freezer,730,0
BJ425,WESTINGHOUSE,,Upright,Refrigerator/Freezer,750,0
BJ425,WESTINGHOUSE,,Upright,Refrigerator/Freezer,750,0
BJ426,WESTINGHOUSE,,Upright,Refrigerator/Freezer,750,0
BJ503,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ503,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ503,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ504,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ504,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ504,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ505,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ505,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ505,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
BJ506,WESTINGHOUSE,,Upright,Refrigerator/Freezer,900,0
FD152,WESTINGHOUSE,,Chest,Freezer,387,0
FD152,WESTINGHOUSE,,Chest,Freezer,372,0
FD153,WESTINGHOUSE,,Chest,Freezer,372,0
FD212,WESTINGHOUSE,,Chest,Freezer,436,0
FD212,WESTINGHOUSE,,Chest,Freezer,413,0
FD213,WESTINGHOUSE,,Chest,Freezer,436,0
FD213,WESTINGHOUSE,,Chest,Freezer,413,0
FD323,WESTINGHOUSE,,Chest,Freezer,503,0
FD323,WESTINGHOUSE,,Chest,Freezer,584,0
FD323,WESTINGHOUSE,,Chest,Freezer,472,0
FD703,WESTINGHOUSE,,Chest,Freezer,706,2
FJ208,WESTINGHOUSE,,Upright,Freezer,690,0
FJ303,WESTINGHOUSE,,Upright,Freezer,750,0
FJ383,WESTINGHOUSE,,Upright,Freezer,1024,0
FR121,WESTINGHOUSE,,Upright,Freezer,380,0
FR211,WESTINGHOUSE,,Upright,Freezer,504,0
FR211,WESTINGHOUSE,,Upright,Freezer,547,0
FR393,WESTINGHOUSE,,Upright,Freezer,711,0
KELVINATOR FN200,WESTINGHOUSE,,Upright,Freezer,690,0
KELVINATOR H150,WESTINGHOUSE,,Chest,Freezer,387,0
KELVINATOR H210,WESTINGHOUSE,,Chest,Freezer,436,0
KELVINATOR H210,WESTINGHOUSE,,Chest,Freezer,436,0
KELVINATOR H210,WESTINGHOUSE,,Chest,Freezer,413,0
KELVINATOR H210,WESTINGHOUSE,,Chest,Freezer,413,0
KELVINATOR N640,WESTINGHOUSE,,Side by Side,Refrigerator/Freezer,1352,0
KELVINATOR N640,WESTINGHOUSE,,Side by Side,Refrigerator/Freezer,1352,0
