Model No,Brand,Control,Prog Name,Type,New CEC,New Star
6*D2**GX***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,710,1.5
6*D2**KX***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,645,2
6*D5**GX***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,740,2
6ED0GTKXK***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,768,0
6ED0GTKXKQ01,WHIRLPOOL,1700,Side by Side,Refrigerator/Freezer,709,0
6ED0GTKXKQ02,WHIRLPOOL,1700,Side by Side,Refrigerator/Freezer,709,0
6ED2FHKXK***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,690,0
6ED2FHKXKQ01,WHIRLPOOL,1700,Side by Side,Refrigerator/Freezer,710,0
6ED2FHKXKQ02,WHIRLPOOL,1700,Side by Side,Refrigerator/Freezer,710,0
6ED2FHKXRL,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,645,2
6ED2FHKXSQ,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,645,2
6ER9GTKXK,WHIRLPOOL,1690,Upright,Refrigerator/Freezer,632,0
6ET19DKX***,WHIRLPOOL,,Upright,Refrigerator/Freezer,790,0
6GC5THGXK***,WHIRLPOOL,1770,Side by Side,Refrigerator/Freezer,963,0
6GD22DCXHW**,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,790,0
6GD25DCXH***,WHIRLPOOL,1780,Side by Side,Refrigerator/Freezer,920,0
6GD25DCXHS03,WHIRLPOOL,1780,Side by Side,Refrigerator/Freezer,1030,0
6GD25DCXHS04,WHIRLPOOL,1780,Side by Side,Refrigerator/Freezer,1030,0
6GD2SHQXK***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,1017,0
6GD5SHGXSS,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,740,2
6GD5SHQXK***,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,853,0
6GS2SHQXRQ,WHIRLPOOL,,Side by Side,Refrigerator/Freezer,670,2
6WBM12M*,WHIRLPOOL,860,Upright,Refrigerator,251,0
6WBM12MS,WHIRLPOOL,860,Upright,Refrigerator,251,0
6WBM12MV,WHIRLPOOL,860,Upright,Refrigerator,251,0
6WBM12MW,WHIRLPOOL,860,Upright,Refrigerator,251,0
6WRI22MW,WHIRLPOOL,1420,Upright,Refrigerator/Freezer,524,0
6WRI22WK,WHIRLPOOL,1420,Upright,Refrigerator/Freezer,500,0
6WRI24WK,WHIRLPOOL,1550,Upright,Refrigerator/Freezer,469,0
6WRI27PW,WHIRLPOOL,1680,Upright,Refrigerator/Freezer,537,0
