Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 ,AWA,116.846,LCD (LED),,93.6,6
LC-16A40(DVB-T),AWA,39.486,LCD,,30.78,4
LC-16A50(DVB-T),AWA,39.486,LCD,,30.78,4
LC-16A51(DVB-T),AWA,39.486,LCD,,30.78,4
LC-16A58(DVB-T),AWA,39.486,LCD,,30.78,4
LC-16G78,AWA,39.486,LCD,,30.78,4
LC-16G78(DVB-T),AWA,39.486,LCD,,30.78,4
LC-16G78P,AWA,39,LCD,,31,4
LE-24G90,AWA,60,LCD (LED),,33.3,5.5
LE-32G90G,AWA,81,LCD (LED),,111.37,2.5
LE-42G90,AWA,106,LCD (LED),,118.7,4
LE4603-O5,AWA,116.846,LCD (LED),,93.6,6
MHDV2211-O3-D0,AWA,55,LCD,,42.56,4
MHDV2245-O3-D0,AWA,54.683,LCD (LED),,29.97,5.5
MHDV2411-O3,AWA,60,LCD,,46.264,4.5
MHDV2413-O3-D0,AWA,60.046,LCD,,40.6,4
MHDV2445-O3,AWA,59.77,LCD (LED),,34.253,5.5
MHDV2445-O3-D0,AWA,59.77,LCD (LED),,34.253,5.5
MHDV3211-O3,AWA,80,LCD,,119.21,2
MHDV3245-O3,AWA,80,LCD (LED),,62.862,5
MHDV3720-O3,AWA,94.02557099,LCD,,112.65,3.5
MHDV3902Y-O3,AWA,98.014,LCD (LED),,65.5,6
MHDV4211-O3,AWA,106.7,LCD,,157.49,3
MHDV4245-O3,AWA,106.729,LCD (LED),,80.7,6
MHDV4601-O3,AWA,116.917,LCD (LED),,98.1,6
MSDV1636-O3,AWA,39.44426448,LCD,,18.3,6
MSDV1911-O3,AWA,47.01,LCD,,29.75,5
MSDV1911-O3-D0,AWA,47.01,LCD,,29.75,5
MSDV1911-O3-D0P,AWA,47.01,LCD,,29.75,5
MSDV1911-O3-D0PU,AWA,47.013,LCD,,29.75,5
MSDV1962-04-D0,AWA,47.332,LCD (LED),,22.2,6
MSDV1962-O4,AWA,47.332,LCD (LED),,22.2,6
MSDV2611-O3,AWA,66,LCD,,57.545,4
MSDV2645-O3,AWA,66.174,LCD (LED),,37.9,6
MSDV2968-05,AWA,72.711,LCD (LED),,38,7
MSDV3211-O3,AWA,81,LCD,,119.21,2
MSDV3213-O3-D0,AWA,80.043,LCD,,91.3,3
MSDV3268-O5-D0,AWA,79.782,LCD (LED),,43.8,7
TV3245-D7,AWA,80.075,LCD (LED),,47.3,6
