Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AK18LED,AKAI,47.013,LCD (LED),,21,6
AK18LED,AKAI,47.013,LCD (LED),,22.7,6
AK18LEDG,AKAI,47.013,LCD (LED),,21.7,6
AK22FLEDC,AKAI,54.713,LCD (LED),,28.3,6
AK22FLEDC,AKAI,54.687,LCD (LED),,26.01,6
AK22FLEDCG,AKAI,54.687,LCD (LED),,23.8,7
AK24FLED,AKAI,59.774,LCD (LED),,28,7
AK24FLEDC,AKAI,60.969,LCD (LED),,27.5,0
AK24FLEDG,AKAI,60.965,LCD (LED),,27.8,7
AK32DLEDG,AKAI,80.219,LCD (LED),,47.51,6
AK32DLEDN,AKAI,80.043,LCD,,35.1,8
AK32FLED,AKAI,80.054,LCD (LED),,53.9,6
AK32LCDC,AKAI,80.054,LCD (LED),,82.5,4
AK32LEDC,AKAI,80.043,LCD (LED),,38.7,0
AK39LCD,AKAI,97.965,LCD (LED),,108,4.5
AK40FLEDC,AKAI,101.612,LCD (LED),,57.1,0
AK40LE ,AKAI,101.612,LCD (LED),,47.2,0
AK42FLED,AKAI,106.731,LCD (LED),,98,5.5
AK42FLED,AKAI,106.697,LCD (LED),,70,7
AK46FELED,AKAI,116.809,LCD (LED),,101.9,6
AK46FELED,AKAI,116.809,LCD (LED),,87.28,6
AK50FDLED,AKAI,125.731,LCD (LED),,109.7,6
