Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BeoPlay V1-32,Bang & Olufsen,81.22,LCD (LED),,79,4.5
BeoPlay V1-40,Bang & Olufsen,101.549,LCD (LED),,86,5.5
BeoVision 10-32,Bang & Olufsen,81.3,LCD (LED),,115,2.5
BeoVision 11-40,Bang & Olufsen,101.19,LCD (LED),,124,4
BeoVision 11-46,Bang & Olufsen,116.274,LCD (LED),,141,4.5
BeoVision 11-55,Bang & Olufsen,138.624,LCD (LED),,154,5.5
BeoVision 7 - 55,Bang & Olufsen,139.7,LCD (LED),,165,5
BeoVision 7-40,Bang & Olufsen,101.549,LCD (LED),,132,3.5
BeoVision Avant 55,Bang & Olufsen,139.741,LCD (LED),,169,5
BeoVision Avant 75,Bang & Olufsen,190.472,LCD (LED),,276,0
BeoVision Avant 85,Bang & Olufsen,215.9,LCD (LED),,311,6
