Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AJ-22FLEC1,BAUHN,54.687,LCD (LED),,32.54,5.5
AS-32FZ1,BAUHN,80,LCD,,72.8,4.5
AS-39FHD1,Bauhn,97.974,LCD (LED),,114.2,4
AS-39FHD1 ,BAUHN,97.974,LCD (LED),,114.2,4
AS-42FHD1,BAUHN,106,LCD,,101.3,5
AS-47FHD1,BAUHN,121,LCD,,148.82,4.5
AS-47FHZ1,BAUHN,119.7,LCD,,155.7,4
AS-47LE3D1 ,BAUHN,119.635,LCD (LED),,111,5.5
AT-24FHDC1,BAUHN,60,LCD,,48.7,4.5
ATV-15LEC1,BAUHN,39.486,LCD (LED),,10.8,8
ATV-195LEDCB,BAUHN,49.407,LCD,,18.1,0
ATV-195LEDCW,BAUHN,49.407,LCD,,18.1,0
ATV-19HED2,Bauhn,47.013,LCD (LED),,23.5,6
ATV-22FLEC2,BAUHN,54.687,LCD (LED),,21.7,7
ATV-23FEDC1,BAUHN,58.422,LCD (LED),,39.94,5
ATV-24LEC1,BAUHN,60.965,LCD (LED),,22.1,8
ATV-24LEC2,BAUHN,60.965,LCD (LED),,29.7,0
ATV-24LEC3,BAUHN,60.969,LCD,,27.5,0
ATV-32HDC1N ,BAUHN,80.872,LCD (LED),,62.3,5.5
ATV-40FHDED,BAUHN,101.612,LCD (LED),,59.6,0
ATV-46FLEM,Bauhn,116.809,LCD (LED),,101.9,6
ATV-50FHD1,Bauhn,125.725,LCD (LED),,145,5
ATV-50FHD1 ,BAUHN,125.725,LCD (LED),,145,5
ATV-50FHD3 ,BAUHN,127,LCD,,109.9,0
ATV-50FHD4 ,BAUHN,133.183,LCD (LED),,107.6,0
ATV-50FHD5,BAUHN,126.308,LCD (LED),,84.86,0
ATV-55FHDED,BAUHN,138.783,LCD,,98.7,0
ATV-58IPED1,BAUHN,146.068,LCD (LED),,151.86,6
ATV-BA15DVC,BAUHN,39.486,LCD,,15.3,0
ATV-BA32DV2,BAUHN,80.043,LCD,,37.5,0
ATV-BA32DVB,BAUHN,80.131,LCD (LED),,39.03,0
ATV-BA32DVW,BAUHN,80.131,LCD (LED),,39.03,0
ATV185-014,BAUHN,48.141,LCD,,21.3,0
ATV32H-014,BAUHN,80.043,LCD,,39,0
ATV40-014,BAUHN,101.607,LCD (LED),,59.4,0
ATV50-014,BAUHN,125.727,LCD (LED),,108.4,0
ATV50F-415,BAUHN,125.727,LCD,,92.4,0
ATV58-615,BAUHN,146.034,LCD,,118.8,0
ATVS55-315,BAUHN,139.11,LCD (LED),,116.41,0
ATVU42-515,BAUHN,106.729,LCD (LED),,77.8,0
MD21067 AUS-A,BAUHN,58.42,LCD (LED),,32.83,6
MD21067 AUS-A,BAUHN,58,LCD,,32.83,6
