Model No,Brand,Control,Prog Name,Type,New CEC,New Star
24LE02,BEXA,58.421,LCD (LED),,22.9,0
BXE2313AU,BEXA,58.3,LCD (LED),,21.9,0
BXE2313NZ,BEXA,58.3,LCD (LED),,21.9,0
BXE2413AU,BEXA,58.421,LCD (LED),,22.9,0
BXE3213AU,BEXA,80.043,LCD (LED),,38.4,0
BXE3213NZ,BEXA,80.043,LCD (LED),,38.4,0
BXE4013AU,BEXA,101.612,LCD (LED),,68.77,0
BXE4013NZ,BEXA,101.612,LCD (LED),,68.77,0
BXE4814AU,BEXA,120.94,LCD (LED),,77.89,0
BXE4814NZ,BEXA,120.94,LCD (LED),,77.89,0
BXE5013AU,BEXA,125.731,LCD (LED),,54.58,0
LED63207-L1M1A,BEXA,80.043,LCD (LED),,38.4,0
