Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BP2212MHDV,Blaupunkt,54.687,LCD (LED),,20.1,0
BP2214FHD,Blaupunkt,54.403,LCD (LED),,18.7,8
BP2220FHD,Blaupunkt,54.683,LCD,,17,0
BP2820HDV,Blaupunkt,69.866,LCD (LED),,22.8,0
BP2830HDV,Blaupunkt,69.866,LCD (LED),,22.8,0
BP2914HD,Blaupunkt,72.711,LCD (LED),,38,7
BP3220HDV,Blaupunkt,80.043,LCD (LED),,31.5,0
BP3230HDV,Blaupunkt,80.043,LCD (LED),,29,0
BP3914HD,Blaupunkt,98.014,LCD (LED),,65.5,6
BP3940FHDV,Blaupunkt,97.974,LCD (LED),,51.7,0
BP3941FHD,Blaupunkt,97.974,LCD (LED),,51.7,0
BP4020FHD,Blaupunkt,101.609,LCD (LED),,53.3,0
BP4021FHDV,Blaupunkt,101.609,LCD (LED),,48.5,0
BP4820FHD,Blaupunkt,120.94,LCD (LED),,79.6,0
BP5020FHD,Blaupunkt,125.731,LCD (LED),,77.61,0
BP5040UHD,Blaupunkt,125.731,LCD (LED),,96.1,0
BP5520FHD,Blaupunkt,138.783,LCD (LED),,86.8,0
BPV2214FHD,Blaupunkt,54.403,LCD (LED),,18.7,8
BPV2414FHD,Blaupunkt,60.035,LCD (LED),,18.5,8
BPV2415FHDW,Blaupunkt,59.809,LCD (LED),,28.7,0
BPV3215HDW,Blaupunkt,80.043,LCD (LED),,57.82,1
