Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ID22FHD,BUSH,54.849,LCD,,27.3,6
ID24FHDV,BUSH,59.618,LCD (LED),,28.5,6
ID26HDV,BUSH,66.545,LCD,,36.1,6
IDLCD1904HDB,BUSH,46.25,LCD,,29.75,5
IDLCD3204HDB,BUSH,80,LCD,,119.21,2.5
IDLED1901,BUSH,47.5,LCD (LED),,23.54,6
IDLED2201,BUSH,55,LCD (LED),,29.97,6
IDLED2202DVD,BUSH,55,LCD (LED),,29.97,6
IDLED2401,BUSH,59,LCD (LED),,34.253,6
IDLED2402DVD,BUSH,59,LCD (LED),,34.253,6
IDLED2601,BUSH,65,LCD (LED),,43.532,5.5
IDLED3201,BUSH,80,LCD (LED),,65.979,5
