Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LT2010D,CELESTIAL,66.049,LCD,,44.6,5.5
LT2283A,CELESTIAL,54.713,LCD,,41.8,4
LT2283AB,CELESTIAL,54.713,LCD,,41.8,4
LT2283AC,CELESTIAL,54.713,LCD,,41.8,4
LT2283B,CELESTIAL,54.713,LCD,,41.8,4
LT2283C,CELESTIAL,54.713,LCD,,41.8,4
LT2283D,CELESTIAL,54.713,LCD,,41.8,4
LT2610A,CELESTIAL,66.049,LCD,,44.6,5.5
LT2610A-NA,CELESTIAL,66.049,LCD,,44.6,5.5
LT2610A-NC,CELESTIAL,66.049,LCD,,44.6,5.5
LT2610B,CELESTIAL,66.049,LCD,,44.6,5.5
LT2610C,CELESTIAL,66.049,LCD,,44.6,5.5
LT3283A,CELESTIAL,79.967,LCD,,41.8,4
LT3283AB,CELESTIAL,79.967,LCD,,41.8,4
LT3283AC,CELESTIAL,79.967,LCD,,41.8,4
LT3283AD,CELESTIAL,79.967,LCD,,41.8,4
LT3283B,CELESTIAL,79.967,LCD,,41.8,4
LT4010*,CELESTIAL,101.602,LCD,,113.5,4.5
LT4010A,CELESTIAL,101.602,LCD,,113.5,4.5
LT4010A-NC,CELESTIAL,101.602,LCD,,113.5,4.5
LT4010B,CELESTIAL,101.602,LCD,,113.5,4.5
LT4010C,CELESTIAL,101.602,LCD,,113.5,4.5
LT4010D,CELESTIAL,101.602,LCD,,113.5,4.5
